Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,330
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with enhanced ETV loss weight
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, etv=0.3
EV gate scale: 10.0

step 03600 ( 35.7%) | loss: 1.814707 | trade:0.52 call:0.57 put:0.43 | ATM:0.43 OTM:0.57 | etv:+1.593 | lr: 1.50e-04 | left: 154s
step 03650 ( 36.2%) | loss: 1.840228 | trade:0.48 call:0.62 put:0.38 | ATM:0.43 OTM:0.57 | etv:+1.454 | lr: 1.50e-04 | left: 153s
step 03700 ( 36.8%) | loss: 1.811104 | trade:0.52 call:0.64 put:0.36 | ATM:0.41 OTM:0.59 | etv:+1.629 | lr: 1.50e-04 | left: 152s
step 03750 ( 37.3%) | loss: 1.812267 | trade:0.35 call:0.71 put:0.29 | ATM:0.43 OTM:0.57 | etv:+0.896 | lr: 1.50e-04 | left: 150s
step 03800 ( 37.9%) | loss: 1.812830 | trade:0.49 call:0.50 put:0.50 | ATM:0.43 OTM:0.57 | etv:+1.644 | lr: 1.50e-04 | left: 149s
step 03850 ( 38.5%) | loss: 1.842001 | trade:0.51 call:0.61 put:0.39 | ATM:0.42 OTM:0.58 | etv:+1.759 | lr: 1.50e-04 | left: 148s
step 03900 ( 39.0%) | loss: 1.794638 | trade:0.48 call:0.58 put:0.42 | ATM:0.42 OTM:0.58 | etv:+1.670 | lr: 1.50e-04 | left: 146s
step 03950 ( 39.6%) | loss: 1.796813 | trade:0.42 call:0.58 put:0.42 | ATM:0.44 OTM:0.56 | etv:+1.114 | lr: 1.50e-04 | left: 145s
step 04000 ( 40.2%) | loss: 1.784741 | trade:0.48 call:0.59 put:0.41 | ATM:0.40 OTM:0.60 | etv:+1.567 | lr: 1.50e-04 | left: 144s
step 04050 ( 40.7%) | loss: 1.773148 | trade:0.48 call:0.58 put:0.42 | ATM:0.42 OTM:0.58 | etv:+1.803 | lr: 1.50e-04 | left: 142s
step 04100 ( 41.3%) | loss: 1.777359 | trade:0.42 call:0.61 put:0.39 | ATM:0.43 OTM:0.57 | etv:+1.223 | lr: 1.50e-04 | left: 141s
step 04150 ( 41.8%) | loss: 1.793238 | trade:0.46 call:0.59 put:0.41 | ATM:0.45 OTM:0.55 | etv:+1.535 | lr: 1.50e-04 | left: 140s
step 04200 ( 42.4%) | loss: 1.800295 | trade:0.43 call:0.64 put:0.36 | ATM:0.44 OTM:0.56 | etv:+1.192 | lr: 1.50e-04 | left: 138s
step 04250 ( 42.9%) | loss: 1.777485 | trade:0.47 call:0.60 put:0.40 | ATM:0.43 OTM:0.57 | etv:+1.719 | lr: 1.50e-04 | left: 137s
step 04300 ( 43.5%) | loss: 1.764094 | trade:0.50 call:0.63 put:0.37 | ATM:0.43 OTM:0.57 | etv:+1.517 | lr: 1.50e-04 | left: 136s
step 04350 ( 44.0%) | loss: 1.790267 | trade:0.49 call:0.61 put:0.39 | ATM:0.43 OTM:0.57 | etv:+1.382 | lr: 1.50e-04 | left: 134s
step 04400 ( 44.6%) | loss: 1.773037 | trade:0.43 call:0.65 put:0.35 | ATM:0.44 OTM:0.56 | etv:+1.272 | lr: 1.50e-04 | left: 133s
step 04450 ( 45.1%) | loss: 1.768809 | trade:0.46 call:0.62 put:0.38 | ATM:0.43 OTM:0.57 | etv:+1.322 | lr: 1.50e-04 | left: 132s
step 04500 ( 45.7%) | loss: 1.770903 | trade:0.47 call:0.63 put:0.37 | ATM:0.42 OTM:0.58 | etv:+1.801 | lr: 1.50e-04 | left: 130s
