day,origin,v1_pnl,v1_n_trades,v1_direction,v1_bar,fold_idx,v0_pnl,v0_n_trades,v0_direction,v0_bar,pnl_delta,label,v0_chose,v1_chose,opening_gap_pct,session_open_dist,vwap_dist,first15_range_pct,first15_close_position,vix_roc,atm_iv,iv_percentile,realized_vol,vix_regime,sigma_pos,omar_range_pct,omar_mid_pos_units
2025-11-10,in_sample,-901.3125144781196,1,put,41,3,-901.3125144781196,1.0,put,41.0,0.0,0,True,True,0.00837269052863121,0.0033781996462494135,0.000780533766373992,0.0038070841692388058,0.8873456716537476,-0.006640841253101826,0.0779692605137825,0.0714285746216774,0.000245128758251667,-0.33000001311302185,1.2781381607055664,0.0018859166884794831,1.291277289390564
2025-11-11,in_sample,-1050.3864257379068,1,put,32,3,-1050.3864257379068,1.0,put,32.0,0.0,0,True,True,-0.0023683293256908655,0.000652484071906656,-0.000255313963862136,0.0013504220405593514,0.4831704795360565,-0.0039548021741211414,0.07064057141542435,0.0,0.0002455753565300256,-0.33000001311302185,-0.9801681637763977,0.001236054114997387,0.027876630425453186
2025-11-12,in_sample,-565.058596349526,1,put,37,3,-565.058596349526,1.0,put,37.0,0.0,0,True,True,0.0028737939428538084,-0.0009079594165086746,-0.0003335684014018625,0.0017007844289764762,0.2827763557434082,0.007518797181546688,0.07501748949289322,0.6428571343421936,0.0003185940731782466,-0.33000001311302185,-1.513195276260376,0.0008248877129517496,-0.7473497986793518
2025-11-13,in_sample,4863.079550886527,1,put,52,3,4863.079550886527,1.0,put,52.0,0.0,0,True,True,-0.003725919406861067,-0.004452481400221586,-0.0024068693164736032,0.004608450923115015,0.03384418785572052,0.025260845199227333,0.1109798476099968,1.0,0.00045950713683851063,-0.33000001311302185,-2.3157529830932617,0.0012757109943777323,-2.9901959896087646
2025-11-14,in_sample,-915.7441369550892,1,put,101,3,-915.7441369550892,1.0,put,101.0,0.0,0,True,True,-0.009850827977061272,0.0017952945781871676,0.003076107706874609,0.005776360165327787,0.9652939438819885,-0.05000000074505806,0.15672899782657623,0.0,0.0008932554628700018,0.33000001311302185,2.177466630935669,0.0012956042774021626,1.8856812715530396
2025-11-17,in_sample,2543.1736653812422,1,put,77,3,2543.1736653812422,1.0,put,77.0,0.0,0,True,True,-0.003190746996551752,0.0033964274916797876,0.002089792862534523,0.0057106888853013515,0.8292175531387329,-0.011566265486180782,0.1258508712053299,0.0714285746216774,0.0006017478299327195,0.33000001311302185,0.953691303730011,0.001338976202532649,3.0365853309631348
2025-11-18,in_sample,-1079.183991524054,1,put,112,3,-1079.183991524054,1.0,put,112.0,0.0,0,True,True,-0.004753548186272383,-0.0012830409687012434,-0.0012718834914267063,0.004785396158695221,0.24354127049446106,0.013085690326988697,0.15791024267673492,0.1428571492433548,0.00123094383161515,0.33000001311302185,-1.2502979040145874,0.0011367953848093748,-0.6286472082138062
2025-11-19,in_sample,1977.4853637209328,1,put,50,3,1977.4853637209328,1.0,put,50.0,0.0,0,True,True,0.0013450325932353735,0.003219381207600236,0.002421189798042178,0.00465305894613266,0.9298415780067444,-0.02382943220436573,0.1265537142753601,0.0714285746216774,0.0005304428050294518,0.33000001311302185,2.005884885787964,0.0012501429300755262,2.9368231296539307
2025-11-20,in_sample,18449.6000432089,1,put,75,3,18449.6000432089,1.0,put,75.0,0.0,0,True,True,0.014300918206572533,0.0020882608368992805,0.0005275079747661948,0.0028569186106324196,0.7309486865997314,0.00775594636797905,0.12401645630598068,0.0714285746216774,0.0006403648876585066,-0.33000001311302185,1.0048171281814575,0.001507694716565311,0.8850687742233276
2025-11-21,in_sample,-1155.0770851967234,1,put,107,3,-1155.0770851967234,1.0,put,107.0,0.0,0,True,True,0.0025370153598487377,-4.2712290451163426e-05,-0.0018631567945703864,0.003183591179549694,0.0033540967851877213,0.01741195097565651,0.20676961541175842,0.5714285969734192,0.0009606067324057221,0.33000001311302185,-2.6421103477478027,0.003130200784653425,-0.5136452317237854
2025-11-24,in_sample,-1012.3081435868868,1,put,91,3,-1012.3081435868868,1.0,put,91.0,0.0,0,True,True,0.0049577513709664345,0.0011017691576853395,-0.0014902401017025113,0.005185238551348448,0.21248185634613037,0.023330284282565117,0.1408129185438156,1.0,0.0007977787172421813,0.33000001311302185,-1.404563307762146,0.0011815420584753156,0.43248409032821655
2025-11-25,in_sample,-1116.7031051814556,1,put,73,3,-1116.7031051814556,1.0,put,73.0,0.0,0,True,True,-0.0011395042529329658,-0.0011316309683024883,-0.0018136376747861505,0.004028725903481245,0.06270872056484222,0.029397109523415565,0.11948992311954498,0.9285714030265808,0.0005731808487325907,0.33000001311302185,-1.9193129539489746,0.0011749827535822988,-1.3040711879730225
