member,feature,horizon_minutes,sign,n_sessions,measured_raw_ic,excess_wild,excess_wild_se,excess_wild_maxT_p,excess_block,excess_block_p,sign_stable_folds,nulls_agree,status,control_excess,control_maxT_p,fold0_mean_excess,fold1_mean_excess,fold2_mean_excess,fold3_mean_excess,fold4_mean_excess
momentum_15m_over_session_range|60m|-,momentum_15m_over_session_range,60,-,213,0.10945073053807153,0.002933428306590929,0.012561245628161135,1.0,-0.0116590495771877,0.8319775731059598,2,False,NO_EXCESS,-0.019078858556261895,1.0,-0.02862963940047339,0.04042425772776051,-0.03411456776840412,0.0034423858699337844,-0.023162206904350568
momentum_5m_over_session_range|60m|-,momentum_5m_over_session_range,60,-,213,0.07320959997412732,0.0023116022549521174,0.007725457408581593,1.0,-0.013051133462580826,0.9632211623870536,1,False,NO_EXCESS,-0.013351613510928102,1.0,-0.01864873785013005,0.02257302774018056,-0.005596662617958163,-0.0018373707226293366,-0.016413388761770065
momentum_15m_bps|60m|-,momentum_15m_bps,60,-,213,0.1302939097373627,0.0013120106397946476,0.012052639133968522,1.0,-0.0163790815245138,0.920321472464035,1,False,NO_EXCESS,-0.01792762046263869,1.0,-0.024194719454229206,0.037446827110063495,-0.0351372534316355,-8.332275786165153e-05,-0.021517729664260188
momentum_15m_bps|60m|+,momentum_15m_bps,60,+,213,-0.1302939097373627,-0.0013120106397946476,0.012052639133968522,1.0,0.0163790815245138,0.07967852753596498,1,False,NO_EXCESS,0.01792762046263869,0.7143142842857857,0.024194719454229206,-0.037446827110063495,0.0351372534316355,8.332275786165153e-05,0.021517729664260188
momentum_5m_over_session_range|60m|+,momentum_5m_over_session_range,60,+,213,-0.07320959997412732,-0.0023116022549521174,0.007725457408581593,1.0,0.013051133462580826,0.03677883761294636,1,False,NO_EXCESS,0.013351613510928102,0.5723213839308035,0.01864873785013005,-0.02257302774018056,0.005596662617958163,0.0018373707226293366,0.016413388761770065
momentum_15m_over_session_range|60m|+,momentum_15m_over_session_range,60,+,213,-0.10945073053807153,-0.002933428306590929,0.012561245628161135,1.0,0.0116590495771877,0.16802242689404018,2,False,NO_EXCESS,0.019078858556261895,0.712264386780661,0.02862963940047339,-0.04042425772776051,0.03411456776840412,-0.0034423858699337844,0.023162206904350568
momentum_5m_bps|60m|+,momentum_5m_bps,60,+,213,-0.08605389981968549,-0.0032002314703954747,0.007396552058517327,1.0,0.013370334626608592,0.027762030301213825,1,False,NO_EXCESS,0.013519868278240645,0.4919754012299385,0.011153390165947045,-0.01965795192709032,0.0056546161448530075,0.001646944158594108,0.014898538843678656
session_range_bps|60m|-,session_range_bps,60,-,213,-0.12669666417751604,-0.003722529714719089,0.03202151959132247,1.0,-0.03429935524229928,0.8565611655669383,2,False,NO_EXCESS,0.006504443207816983,1.0,-0.02807160242402026,0.059449541262480886,0.08912774467842212,-0.0083383538680296,0.038615250566770315
spx_vwap_gap_over_session_range|60m|+,spx_vwap_gap_over_session_range,60,+,213,-0.3637263649476061,-0.011144061586084318,0.017771419646334205,1.0,-0.019459804383858362,0.862667199606773,3,False,NO_EXCESS,0.026853614027082803,0.7855107244637768,0.035957937652264016,-0.07047448935726833,0.03457062888795004,-0.014904991498663448,-0.0006104842830125868
session_range_bps|30m|-,session_range_bps,30,-,213,-0.13420684847172668,-0.01289163657400341,0.02473642154726974,1.0,-0.037843283124620604,0.936100670023778,1,False,NO_EXCESS,0.0018382701743283629,1.0,-0.0691476597702687,0.018421329704437054,0.051547191422133064,0.010039451525592323,0.026162651867078678
