member,feature,horizon_minutes,sign,n_sessions,mean_ic,se,ci_low,ci_high,p_one_sided,maxT_p_one_sided,sign_stable_folds,control_mean_ic,control_maxT_p_one_sided,fold0_mean_ic,fold1_mean_ic,fold2_mean_ic,fold3_mean_ic,fold4_mean_ic
momentum_15m_over_session_range|15m|+,momentum_15m_over_session_range,15,+,213,-0.0694204081908274,0.012326311203993696,-0.09371824253807655,-0.04512257384357825,0.9999999718903375,1.0,5,-0.00234899311291444,1.0,-0.07588326036680484,-0.06862785938732693,-0.08464366456167824,-0.09194310586988827,-0.07066944479090424
momentum_5m_over_session_range|30m|+,momentum_5m_over_session_range,30,+,213,-0.07109179003874089,0.008912874687534754,-0.08866100025350031,-0.05352257982398147,0.9999999999999535,1.0,5,-0.0012324695567212918,1.0,-0.0736877791767332,-0.09725799679705648,-0.07227629934560109,-0.08074456105972279,-0.0560515951858873
momentum_5m_over_session_range|60m|+,momentum_5m_over_session_range,60,+,213,-0.07320959997412732,0.007774073991005446,-0.0885339868819889,-0.05788521306626575,1.0,1.0,5,4.865242489025258e-05,1.0,-0.052921644543875684,-0.0954650598183058,-0.06304833453753535,-0.06983014558430094,-0.05235286931071642
momentum_5m_bps|30m|+,momentum_5m_bps,30,+,213,-0.08117172591547689,0.008721307933444522,-0.09836331648553542,-0.06398013534541835,1.0,1.0,5,-0.001022535581330622,1.0,-0.08742479040068486,-0.10286702910729742,-0.08002092392632763,-0.08888967221063541,-0.06852622240457837
momentum_15m_bps|15m|+,momentum_15m_bps,15,+,213,-0.08221485817123532,0.012181655249544022,-0.10622754424010719,-0.05820217210236345,0.9999999999300616,1.0,5,-0.0027882164303748907,1.0,-0.08738510600893205,-0.0782512424998605,-0.09257181082299928,-0.11100049053539174,-0.0860887199459537
momentum_5m_bps|60m|+,momentum_5m_bps,60,+,213,-0.08605389981968549,0.007392824198106176,-0.10062676064975437,-0.07148103898961661,1.0,1.0,5,0.00019636768334736185,1.0,-0.07330235548747732,-0.10379454305184346,-0.07401243496343196,-0.08216793993569858,-0.06628964156772678
momentum_15m_over_session_range|30m|+,momentum_15m_over_session_range,30,+,213,-0.08794689882335266,0.013098877036761271,-0.11376762808346505,-0.06212616956324027,0.9999999999147352,1.0,5,-0.003353382076510602,1.0,-0.08531230701237617,-0.13808531579586134,-0.07500824878322424,-0.11312732437903764,-0.04385406202627006
momentum_15m_bps|30m|+,momentum_15m_bps,30,+,213,-0.10435836510965735,0.01269924840013054,-0.12939133960254265,-0.07932539061677203,0.9999999999999898,1.0,5,-0.002801746162665289,1.0,-0.10293102434758147,-0.15050119324794622,-0.087403441462606,-0.1298202806831759,-0.0659177973966235
momentum_15m_over_session_range|60m|+,momentum_15m_over_session_range,60,+,213,-0.10945073053807153,0.012650589663282074,-0.13438778810107216,-0.08451367297507091,0.9999999999999993,1.0,5,0.002251644607281553,1.0,-0.0788684127819002,-0.14956694251067185,-0.06956967031243155,-0.10993498782621972,-0.08089198546151988
session_range_bps|60m|-,session_range_bps,60,-,213,-0.12669666417751602,0.0335843163246848,-0.19289863987146216,-0.06049468848356987,0.9998951500883845,1.0,5,-0.0014331812586719937,1.0,-0.15547276744065477,-0.06787038308645256,-0.039458901372022355,-0.1385514995406892,-0.07433878979988194
session_range_bps|15m|-,session_range_bps,15,-,213,-0.1287710589420076,0.019493304633575532,-0.16719659266645412,-0.09034552521756109,0.9999999998433085,1.0,5,-0.0037879093844270123,1.0,-0.18181879138650042,-0.11338390551944282,-0.10476080314948007,-0.10454087516654831,-0.08808126559355825
momentum_15m_bps|60m|+,momentum_15m_bps,60,+,213,-0.13029390973736274,0.012063520747016426,-0.15407372706508354,-0.10651409240964194,1.0,1.0,5,0.002231454736823678,1.0,-0.10735081309730983,-0.16777061504669305,-0.08946234405194128,-0.12976648626057513,-0.10525909272788642
session_range_bps|30m|-,session_range_bps,30,-,213,-0.1342068484717267,0.02618197104691839,-0.18581719522139992,-0.08259650172205349,0.999999667198088,1.0,5,0.0012698928289413998,1.0,-0.19387669984962422,-0.1043985172429995,-0.07397250820577062,-0.11593265139013362,-0.08825704868026003
