window_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held,clean_entry_prob,max_exit_prob
3,2023-12-18,120,210,call,251.6510966781002,model,90,0.5355005264282227,0.8915854410656264
3,2023-12-19,81,120,call,201.90999756954608,model,39,0.5137485265731812,0.861915997079006
3,2023-12-20,116,120,call,-51.49992324784398,model,4,0.5205502510070801,0.9132730810087993
3,2023-12-26,79,105,call,50.84002358078956,model,26,0.5123342275619507,0.8851279494158075
3,2023-12-27,42,185,call,-164.02160931404296,model,143,0.4522554576396942,0.898424621662036
4,2023-12-28,87,105,call,-88.3000378181537,model,18,0.4433363378047943,0.9570676192194011
4,2024-01-09,107,165,call,920.8860071636323,model,58,0.4339432418346405,0.9484511459515473
4,2024-01-24,51,210,call,850.5385559210791,model,159,0.455722451210022,0.9292429846525646
4,2024-02-09,92,110,call,-86.19994202554227,model,18,0.4435005486011505,0.9486160723632998
4,2024-02-12,59,135,call,1737.0300454267115,model,76,0.45298245549201965,0.9495059823624268
4,2024-02-26,105,180,call,266.7500769030303,model,75,0.4466974437236786,0.9666533836312463
4,2024-02-27,115,227,call,-413.31328025936216,model,112,0.4710352420806885,0.9336764411320962
4,2024-03-04,117,266,call,195.7899584966153,model,149,0.462441623210907,0.852466055656146
4,2024-03-25,107,258,call,-88.29998073056339,model,151,0.48211508989334106,0.8865746833901917
5,2024-03-26,116,150,call,6.309997089728704,model,34,0.39590609073638916,0.8316416886160887
5,2024-04-25,120,121,call,-92.04545544832945,model,1,0.28389036655426025,0.9309083169491078
5,2024-05-16,73,100,call,303.35997071057557,model,27,0.36435380578041077,0.9844143504226615
5,2024-05-20,78,131,call,-103.20001838654281,model,53,0.35753384232521057,0.932338237101679
5,2024-05-21,55,153,call,10.750038666650653,model,98,0.38120853900909424,0.9422993348562558
5,2024-05-24,120,177,call,2.080069145262243,model,57,0.3370818495750427,0.9573782070181114
5,2024-05-28,53,121,call,160.27252707359574,model,68,0.39812687039375305,0.8877190765619266
5,2024-06-10,115,145,call,458.11281171256826,model,30,0.3610217273235321,0.9430581732866267
5,2024-06-17,118,236,call,2264.027078850844,model,118,0.3425273597240448,0.9643524710044905
6,2024-06-21,97,110,call,89.14996202699841,model,13,0.28358957171440125,0.9610593995015172
6,2024-07-03,117,118,call,-58.54349562809207,model,1,0.45243653655052185,0.23953127886530265
6,2024-07-05,118,265,call,1168.4666321247817,model,147,0.34272393584251404,0.9406795152655885
6,2024-07-08,115,122,call,-110.26006074413657,model,7,0.3485119044780731,0.9536970767275595
6,2024-07-10,117,135,call,234.82991660766305,model,18,0.36272186040878296,0.9806925460922334
6,2024-07-31,55,140,call,109.24416699282433,model,85,0.26159659028053284,0.9819836893966639
6,2024-08-08,64,100,call,-121.73891440811605,model,36,0.2503780126571655,0.9385385020780918
6,2024-08-09,93,100,call,-91.82170312983902,model,7,0.2682860791683197,0.910883044377563
6,2024-08-13,111,145,call,162.8999620549381,model,34,0.27810561656951904,0.9787235160839095
