Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Training from scratch with progressive feature masking curriculum.

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Curriculum stages: 4

step 06200 ( 35.7%) | loss: 1.173664 | trade:0.35 call:0.54 put:0.46 | ATM:0.52 OTM:0.48 | stage:Vol+Levels | lr: 1.50e-04 | left: 154s
step 06250 ( 35.9%) | loss: 1.160546 | trade:0.35 call:0.66 put:0.34 | ATM:0.60 OTM:0.40 | stage:Vol+Levels | lr: 1.50e-04 | left: 154s
step 06300 ( 36.1%) | loss: 1.159854 | trade:0.35 call:0.56 put:0.44 | ATM:0.53 OTM:0.47 | stage:Vol+Levels | lr: 1.50e-04 | left: 153s
step 06350 ( 36.3%) | loss: 1.169815 | trade:0.33 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | stage:Vol+Levels | lr: 1.50e-04 | left: 153s
step 06400 ( 36.5%) | loss: 1.183389 | trade:0.32 call:0.56 put:0.44 | ATM:0.63 OTM:0.37 | stage:Vol+Levels | lr: 1.50e-04 | left: 152s
step 06450 ( 36.7%) | loss: 1.157811 | trade:0.38 call:0.59 put:0.41 | ATM:0.50 OTM:0.50 | stage:Vol+Levels | lr: 1.50e-04 | left: 152s
step 06500 ( 36.9%) | loss: 1.146301 | trade:0.34 call:0.58 put:0.42 | ATM:0.61 OTM:0.39 | stage:Vol+Levels | lr: 1.50e-04 | left: 151s
step 06550 ( 37.1%) | loss: 1.158687 | trade:0.35 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 151s
step 06600 ( 37.3%) | loss: 1.159650 | trade:0.37 call:0.61 put:0.39 | ATM:0.57 OTM:0.43 | stage:Vol+Levels | lr: 1.50e-04 | left: 151s
step 06650 ( 37.5%) | loss: 1.147672 | trade:0.36 call:0.63 put:0.37 | ATM:0.63 OTM:0.37 | stage:Vol+Levels | lr: 1.50e-04 | left: 150s
step 06700 ( 37.7%) | loss: 1.166265 | trade:0.38 call:0.70 put:0.30 | ATM:0.61 OTM:0.39 | stage:Vol+Levels | lr: 1.50e-04 | left: 150s
step 06750 ( 37.9%) | loss: 1.176142 | trade:0.38 call:0.63 put:0.37 | ATM:0.53 OTM:0.47 | stage:Vol+Levels | lr: 1.50e-04 | left: 149s
step 06800 ( 38.1%) | loss: 1.161269 | trade:0.36 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | stage:Vol+Levels | lr: 1.50e-04 | left: 148s
step 06850 ( 38.3%) | loss: 1.152084 | trade:0.35 call:0.66 put:0.34 | ATM:0.61 OTM:0.39 | stage:Vol+Levels | lr: 1.50e-04 | left: 148s
step 06900 ( 38.6%) | loss: 1.139944 | trade:0.33 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | stage:Vol+Levels | lr: 1.50e-04 | left: 147s
step 06950 ( 38.8%) | loss: 1.135352 | trade:0.30 call:0.66 put:0.34 | ATM:0.67 OTM:0.33 | stage:Vol+Levels | lr: 1.50e-04 | left: 147s
step 07000 ( 39.0%) | loss: 1.154899 | trade:0.32 call:0.60 put:0.40 | ATM:0.54 OTM:0.46 | stage:Vol+Levels | lr: 1.50e-04 | left: 146s
step 07050 ( 39.2%) | loss: 1.142815 | trade:0.30 call:0.58 put:0.42 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 146s
step 07100 ( 39.4%) | loss: 1.148682 | trade:0.31 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | stage:Vol+Levels | lr: 1.50e-04 | left: 145s
step 07150 ( 39.6%) | loss: 1.124762 | trade:0.36 call:0.58 put:0.42 | ATM:0.53 OTM:0.47 | stage:Vol+Levels | lr: 1.50e-04 | left: 145s
step 07200 ( 39.8%) | loss: 1.110188 | trade:0.34 call:0.62 put:0.38 | ATM:0.58 OTM:0.42 | stage:Vol+Levels | lr: 1.50e-04 | left: 144s
step 07250 ( 40.1%) | loss: 1.138626 | trade:0.33 call:0.60 put:0.40 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 144s
step 07300 ( 40.3%) | loss: 1.123919 | trade:0.40 call:0.66 put:0.34 | ATM:0.57 OTM:0.43 | stage:Vol+Levels | lr: 1.50e-04 | left: 143s
