fold_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held,max_prob
3,2025-11-12,37,115,put,858.0499697131052,model,78,0.9750854631934616
3,2025-11-13,52,115,put,2799.3749574454305,model,63,0.9786847992106308
3,2025-11-14,101,260,put,-655.0249752004283,model,159,0.9132809517679229
3,2025-11-17,77,115,put,1455.9999812508665,model,38,0.9385710899959016
3,2025-11-18,112,185,put,-131.50000545420806,model,73,0.9102440672653173
3,2025-11-19,50,130,put,3377.7100991628877,model,80,0.9742081532576681
3,2025-11-20,75,175,put,15192.500646721572,model,100,0.3869653163701044
3,2025-11-21,107,110,put,-143.02496550905295,model,3,0.9129391410501037
3,2025-11-24,91,130,put,-496.000037751085,model,39,0.9520631539357245
3,2025-11-25,73,180,put,-1064.12498488153,model,107,0.45550101211270627
3,2025-11-26,84,134,put,-955.250015224887,model,50,0.9747298968859336
3,2025-11-28,35,195,put,-1077.4999580289827,model,160,0.2555834309605207
3,2025-12-01,109,191,put,-916.375009206084,model,82,0.9191202039055539
3,2025-12-02,33,260,put,911.7250629053676,model,227,0.9692219406697139
3,2025-12-03,60,105,put,-397.75003889699775,model,45,0.9707586063769704
3,2025-12-04,85,135,put,-90.00005730493561,model,50,0.9445451490882464
4,2025-12-05,53,200,put,1505.5600537085534,model,147,0.9671007141155681
4,2025-12-08,34,195,put,1893.1899853067846,model,161,0.9794633739183214
4,2025-12-09,38,107,put,-697.2499563723351,model,69,0.9826105736213556
4,2025-12-10,38,100,put,211.70000777984492,model,62,0.9715109038733181
4,2025-12-11,63,134,put,-370.3749720946916,model,71,0.9794192434811361
4,2025-12-12,31,185,put,4359.44990690622,model,154,0.978639806192842
4,2025-12-15,117,205,put,1553.8650042623963,model,88,0.962686979492446
4,2025-12-16,101,135,put,87.40000052005053,model,34,0.9671987481653703
4,2025-12-17,53,165,put,3870.730046134889,model,112,0.9702741842249207
4,2025-12-18,39,125,put,-1031.5000375035438,model,86,0.9802926457930314
4,2025-12-19,74,140,put,-358.2500085195349,model,66,0.9754886020665456
4,2025-12-22,37,146,put,-906.3749714164624,model,109,0.9790557840318248
4,2025-12-23,85,87,put,-210.49997339408677,model,2,0.9733282699292559
4,2025-12-24,36,100,put,-794.1250017699621,model,64,0.46910703197199344
4,2025-12-26,119,195,put,422.10000098273156,model,76,0.969118651799501
4,2025-12-29,31,190,put,697.8499850872053,model,159,0.9699319042309809
4,2025-12-30,34,165,put,242.09998174262972,model,131,0.9891662752828508
4,2025-12-31,39,215,put,134.15003846064212,model,176,0.9718026475365898
4,2026-01-02,33,159,put,4732.549944826215,model,126,0.7688179581697004
4,2026-01-05,38,110,put,-776.5000202765071,model,72,0.9817285536837757
4,2026-01-06,32,174,put,-357.2499232290408,model,142,0.9697457897715563
4,2026-01-07,100,190,put,-727.0000178757867,model,90,0.9643083446881366
4,2026-01-08,56,145,put,-148.7500574978599,model,89,0.9713152146986871
4,2026-01-09,35,102,put,-1026.5250099286436,model,67,0.6108349149290687
4,2026-01-12,61,135,put,-765.5000089400488,model,74,0.9687554413149385
4,2026-01-13,82,120,put,-329.0000280357353,model,38,0.9656147798686329
4,2026-01-14,72,155,put,956.1250941186084,model,83,0.9537331530612946
4,2026-01-15,38,190,put,-766.1750190780947,model,152,0.979054984677771
4,2026-01-16,109,181,put,-214.5749202565341,model,72,0.9521371081626799
4,2026-01-20,75,103,put,-137.24996863475758,model,28,0.9866485189066859
4,2026-01-21,39,119,put,-882.3500144827294,model,80,0.9807589548575063
4,2026-01-22,71,150,put,-504.250029535209,model,79,0.9732188885376415
4,2026-01-23,38,125,put,-672.3749825491988,model,87,0.9810065013781769
4,2026-01-26,36,110,put,-223.87501912359514,model,74,0.9781812356815697
4,2026-01-27,32,177,put,-677.2499997970239,model,145,0.9868173989925357
4,2026-01-28,30,150,put,1053.8749614466687,model,120,0.979595669428075
4,2026-01-29,55,96,put,3038.210131945553,model,41,0.9822540731587093
4,2026-01-30,48,131,put,394.9250008304977,model,83,0.9757124495059181
4,2026-02-02,33,57,put,-681.3750313818075,model,24,0.9770185201104594
4,2026-02-03,85,215,put,4069.8501916050523,model,130,0.9731033947353359
4,2026-02-04,117,146,put,847.375129087675,model,29,0.9853282897856812
4,2026-02-05,81,109,put,-342.6249633501657,model,28,0.9630883301544478
4,2026-02-06,69,102,put,-526.1250189052136,model,33,0.9777811652653307
4,2026-02-09,58,210,put,-902.8749953309693,model,152,0.4523733324119423
4,2026-02-10,30,140,put,164.75007451411602,model,110,0.9668493617612098
4,2026-02-11,109,125,put,239.8750366591491,model,16,0.9736139757256674
4,2026-02-12,58,170,put,8019.950279500994,model,112,0.9738576531537866
4,2026-02-13,88,115,put,-73.37505620603687,model,27,0.9672379911319077
4,2026-02-17,96,175,put,-695.9999424365641,model,79,0.9573378072352152
4,2026-02-18,68,150,put,-195.99994308348735,model,82,0.968887035547791
4,2026-02-19,96,107,put,-506.87498204361594,model,11,0.9564318845693733
4,2026-02-20,69,120,put,120.62500417621054,model,51,0.9794756296343418
4,2026-02-23,53,105,put,2263.0749093994395,model,52,0.9800518751762791
4,2026-02-24,82,140,put,-386.1250192070449,model,58,0.9691746015092091
4,2026-02-25,48,111,put,-395.75001001222785,model,63,0.9727591601729516
4,2026-02-26,38,180,put,1236.975046943425,model,142,0.982856638142287
4,2026-02-27,69,102,put,-94.25003870854438,model,33,0.976869170465838
4,2026-03-02,87,125,put,-144.75000159931392,model,38,0.953021127083398
4,2026-03-03,97,190,put,-956.0249547878668,model,93,0.29977911220882664
4,2026-03-04,86,87,put,-179.9999237700112,model,1,0.9653176446950275
