Mixed precision: bf16 enabled (Ampere+ GPU detected)
Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 512 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=2.0, pnl=0.3
Exit override strength: 0.15 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 03100 ( 14.9%) | loss: 0.822970 | trade:0.47 call:0.72 put:0.28 | ATM:0.47 OTM:0.53 [seq] | lr: 1.37e-04 | left: 204s
step 03150 ( 15.1%) | loss: 0.635980 | trade:0.36 call:0.75 put:0.26 | ATM:0.58 OTM:0.42 [rnd] | lr: 1.38e-04 | left: 204s
step 03200 ( 15.3%) | loss: 0.582695 | trade:0.97 call:0.97 put:0.03 | ATM:0.29 OTM:0.71 [seq] | lr: 1.40e-04 | left: 203s
step 03250 ( 15.6%) | loss: 0.734188 | trade:0.79 call:0.04 put:0.95 | ATM:0.94 OTM:0.06 [seq] | lr: 1.42e-04 | left: 203s
step 03300 ( 15.9%) | loss: 0.772529 | trade:0.38 call:0.75 put:0.24 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.44e-04 | left: 202s
step 03350 ( 16.1%) | loss: 0.529117 | trade:0.37 call:0.71 put:0.29 | ATM:0.59 OTM:0.41 [rnd] | lr: 1.46e-04 | left: 201s
step 03400 ( 16.3%) | loss: 0.551016 | trade:0.38 call:0.73 put:0.27 | ATM:0.59 OTM:0.41 [rnd] | lr: 1.47e-04 | left: 201s
step 03450 ( 16.5%) | loss: 0.532755 | trade:0.37 call:0.73 put:0.27 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.49e-04 | left: 200s
step 03500 ( 16.8%) | loss: 0.414902 | trade:0.00 call:0.05 put:0.95 | ATM:0.95 OTM:0.05 [seq] | lr: 1.51e-04 | left: 200s
step 03550 ( 16.9%) | loss: 0.722950 | trade:0.00 call:0.09 put:0.91 | ATM:0.82 OTM:0.18 [seq] | lr: 1.52e-04 | left: 199s
step 03600 ( 17.1%) | loss: 1.109735 | trade:0.34 call:0.73 put:0.26 | ATM:0.58 OTM:0.42 [rnd] | lr: 1.54e-04 | left: 199s
step 03650 ( 17.3%) | loss: 0.789783 | trade:0.36 call:0.75 put:0.25 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.55e-04 | left: 198s
step 03700 ( 17.5%) | loss: 0.679735 | trade:0.36 call:0.74 put:0.26 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.56e-04 | left: 198s
step 03750 ( 17.7%) | loss: 0.593295 | trade:0.00 call:0.84 put:0.16 | ATM:0.40 OTM:0.60 [seq] | lr: 1.58e-04 | left: 198s
step 03800 ( 17.9%) | loss: 0.651678 | trade:0.34 call:0.74 put:0.26 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.59e-04 | left: 197s
step 03850 ( 18.2%) | loss: 0.438750 | trade:0.00 call:0.89 put:0.11 | ATM:0.83 OTM:0.17 [seq] | lr: 1.62e-04 | left: 196s
step 03900 ( 18.4%) | loss: 0.509740 | trade:0.94 call:0.01 put:0.99 | ATM:0.19 OTM:0.81 [seq] | lr: 1.63e-04 | left: 196s
step 03950 ( 18.6%) | loss: 0.918846 | trade:0.37 call:0.73 put:0.26 | ATM:0.56 OTM:0.44 [rnd] | lr: 1.65e-04 | left: 195s
step 04000 ( 19.0%) | loss: 0.753807 | trade:0.37 call:0.73 put:0.26 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.67e-04 | left: 194s
step 04050 ( 19.3%) | loss: 0.583282 | trade:0.28 call:0.78 put:0.22 | ATM:0.68 OTM:0.32 [seq] | lr: 1.70e-04 | left: 194s
step 04100 ( 19.5%) | loss: 0.561410 | trade:0.38 call:0.71 put:0.29 | ATM:0.58 OTM:0.42 [rnd] | lr: 1.71e-04 | left: 193s
step 04150 ( 19.7%) | loss: 0.482705 | trade:0.00 call:0.76 put:0.24 | ATM:0.45 OTM:0.55 [seq] | lr: 1.73e-04 | left: 193s
step 04200 ( 19.9%) | loss: 1.087218 | trade:0.34 call:0.73 put:0.27 | ATM:0.56 OTM:0.44 [rnd] | lr: 1.75e-04 | left: 192s
step 04250 ( 20.2%) | loss: 0.632020 | trade:0.39 call:0.76 put:0.24 | ATM:0.56 OTM:0.44 [rnd] | lr: 1.76e-04 | left: 192s
step 04300 ( 20.4%) | loss: 0.520830 | trade:0.91 call:0.99 put:0.01 | ATM:0.33 OTM:0.67 [seq] | lr: 1.78e-04 | left: 191s
step 04350 ( 20.6%) | loss: 0.427781 | trade:0.11 call:0.77 put:0.23 | ATM:0.39 OTM:0.61 [seq] | lr: 1.79e-04 | left: 191s
step 04400 ( 20.8%) | loss: 0.392038 | trade:0.00 call:0.67 put:0.33 | ATM:0.53 OTM:0.47 [seq] | lr: 1.81e-04 | left: 190s
step 04450 ( 21.0%) | loss: 0.496037 | trade:0.00 call:0.61 put:0.38 | ATM:0.44 OTM:0.56 [seq] | lr: 1.82e-04 | left: 190s
step 04500 ( 21.3%) | loss: 0.804081 | trade:0.37 call:0.75 put:0.25 | ATM:0.58 OTM:0.42 [rnd] | lr: 1.84e-04 | left: 189s
step 04550 ( 21.4%) | loss: 0.804562 | trade:0.34 call:0.73 put:0.27 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.86e-04 | left: 189s
step 04600 ( 21.6%) | loss: 0.741033 | trade:0.86 call:0.01 put:0.99 | ATM:0.69 OTM:0.31 [seq] | lr: 1.87e-04 | left: 188s
step 04650 ( 21.8%) | loss: 0.690035 | trade:0.36 call:0.74 put:0.26 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.89e-04 | left: 188s
step 04700 ( 22.0%) | loss: 0.767507 | trade:0.00 call:0.98 put:0.02 | ATM:0.93 OTM:0.07 [seq] | lr: 1.90e-04 | left: 187s
step 04750 ( 22.2%) | loss: 0.869298 | trade:0.37 call:0.72 put:0.28 | ATM:0.56 OTM:0.44 [rnd] | lr: 1.92e-04 | left: 187s
