date,fold,strategy_label,bar,side_intended,reason
2025-08-12,2,strategy,17,P,gated_iv_percentile
2025-08-12,2,strategy,18,P,gated_iv_percentile
2025-08-12,2,strategy,19,P,gated_iv_percentile
2025-08-12,2,strategy,20,P,gated_iv_percentile
2025-08-21,2,strategy,19,C,gated_iv_percentile
2025-08-22,2,strategy,28,P,gated_iv_percentile
2025-09-02,2,strategy,17,P,skipped_no_contracts_at_bar
2025-07-01,2,control_A,23,C,skipped_no_contracts_at_bar
2025-08-06,2,control_A,65,C,skipped_context_spread
2025-08-21,2,control_A,27,P,skipped_no_contracts_at_bar
2025-07-08,2,control_B,62,P,skipped_context_spread
2025-09-18,3,strategy,20,C,skipped_context_spread
2025-09-26,3,strategy,37,P,gated_iv_percentile
2025-09-26,3,strategy,39,P,gated_iv_percentile
2025-09-26,3,strategy,40,P,gated_iv_percentile
2025-09-26,3,strategy,41,P,gated_iv_percentile
2025-10-01,3,strategy,18,P,skipped_context_spread
2025-10-01,3,strategy,19,P,gated_iv_percentile
2025-10-01,3,strategy,22,P,gated_iv_percentile
2025-10-03,3,strategy,30,P,skipped_context_spread
2025-10-10,3,strategy,20,P,gated_iv_percentile
2025-10-10,3,strategy,21,P,gated_iv_percentile
2025-10-10,3,strategy,24,P,gated_iv_percentile
2025-10-10,3,strategy,25,P,skipped_no_contracts_at_bar
2025-10-10,3,strategy,55,C,skipped_context_spread
2025-10-13,3,strategy,16,C,skipped_no_contracts_at_bar
2025-10-13,3,strategy,55,P,gated_iv_percentile
2025-10-13,3,strategy,57,P,gated_iv_percentile
2025-10-14,3,strategy,23,C,skipped_no_contracts_at_bar
2025-10-14,3,strategy,24,C,skipped_no_contracts_at_bar
2025-10-14,3,strategy,25,C,skipped_no_contracts_at_bar
2025-10-14,3,strategy,26,C,skipped_no_contracts_at_bar
2025-10-14,3,strategy,29,C,skipped_no_contracts_at_bar
2025-10-15,3,strategy,17,P,gated_iv_percentile
2025-10-15,3,strategy,18,P,gated_iv_percentile
2025-10-16,3,strategy,17,P,gated_iv_percentile
2025-10-16,3,strategy,19,P,gated_iv_percentile
2025-10-16,3,strategy,20,P,gated_iv_percentile
2025-10-16,3,strategy,21,P,gated_iv_percentile
2025-10-16,3,strategy,23,P,gated_iv_percentile
2025-10-17,3,strategy,16,P,gated_iv_percentile
2025-10-17,3,strategy,18,C,skipped_context_spread
2025-10-17,3,strategy,20,C,skipped_no_contracts_at_bar
2025-10-17,3,strategy,21,C,skipped_no_contracts_at_bar
2025-10-17,3,strategy,22,C,skipped_no_contracts_at_bar
2025-10-17,3,strategy,23,C,skipped_no_contracts_at_bar
