stress_per_side,policy,group_type,group,total_pnl,taken_trades,skipped_trades,total_contracts,worst_trade
0.25,lower_two_contract_threshold,month,2026-01,21980.0,65,3,76,-1280.0
0.25,lower_two_contract_threshold,month,2026-02,24960.0,66,5,79,-3060.0
0.25,lower_two_contract_threshold,month,2026-03,35930.0,91,19,102,-1890.0
0.5,one_contract_baseline,month,2024-10,14860.0,79,0,79,-1120.0
0.5,one_contract_baseline,month,2024-11,13210.0,71,0,71,-1250.0
0.5,one_contract_baseline,month,2024-12,9110.0,61,0,61,-1630.0
0.5,one_contract_baseline,month,2025-07,11030.0,85,0,85,-1360.0
0.5,one_contract_baseline,month,2025-08,15630.0,89,0,89,-1520.0
0.5,one_contract_baseline,month,2025-09,14680.0,100,0,100,-1710.0
0.5,one_contract_baseline,month,2025-10,24280.0,107,0,107,-640.0
0.5,one_contract_baseline,month,2025-11,34180.0,104,0,104,-1090.0
0.5,one_contract_baseline,month,2025-12,9160.0,83,0,83,-1660.0
0.5,one_contract_baseline,month,2026-01,15050.0,68,0,68,-1330.0
0.5,one_contract_baseline,month,2026-02,24270.0,71,0,71,-1580.0
0.5,one_contract_baseline,month,2026-03,30790.0,110,0,110,-1940.0
0.5,high_conviction_profit_cushion,month,2024-10,9660.0,66,13,66,-1120.0
0.5,high_conviction_profit_cushion,month,2024-11,12010.0,63,8,66,-1320.0
0.5,high_conviction_profit_cushion,month,2024-12,8060.0,51,10,52,-1630.0
0.5,high_conviction_profit_cushion,month,2025-07,13710.0,81,4,111,-1360.0
0.5,high_conviction_profit_cushion,month,2025-08,18600.0,79,10,98,-1520.0
0.5,high_conviction_profit_cushion,month,2025-09,18940.0,98,2,128,-1710.0
0.5,high_conviction_profit_cushion,month,2025-10,26730.0,107,0,110,-640.0
0.5,high_conviction_profit_cushion,month,2025-11,33190.0,103,1,103,-1090.0
0.5,high_conviction_profit_cushion,month,2025-12,9460.0,80,3,82,-1660.0
0.5,high_conviction_profit_cushion,month,2026-01,11870.0,63,5,64,-1330.0
0.5,high_conviction_profit_cushion,month,2026-02,21730.0,66,5,74,-2260.0
0.5,high_conviction_profit_cushion,month,2026-03,25080.0,88,22,90,-1940.0
0.5,slow_growth_two_contract,month,2024-10,10050.0,58,21,58,-1120.0
0.5,slow_growth_two_contract,month,2024-11,12400.0,63,8,63,-1250.0
0.5,slow_growth_two_contract,month,2024-12,7490.0,51,10,51,-1630.0
0.5,slow_growth_two_contract,month,2025-07,15460.0,83,2,109,-1360.0
0.5,slow_growth_two_contract,month,2025-08,16060.0,79,10,98,-1520.0
0.5,slow_growth_two_contract,month,2025-09,20650.0,98,2,130,-1710.0
0.5,slow_growth_two_contract,month,2025-10,26890.0,107,0,112,-640.0
0.5,slow_growth_two_contract,month,2025-11,33920.0,103,1,105,-1090.0
0.5,slow_growth_two_contract,month,2025-12,9110.0,80,3,81,-1660.0
0.5,slow_growth_two_contract,month,2026-01,13390.0,63,5,67,-1380.0
0.5,slow_growth_two_contract,month,2026-02,20550.0,66,5,74,-2260.0
0.5,slow_growth_two_contract,month,2026-03,27190.0,88,22,93,-1940.0
0.5,lower_two_contract_threshold,month,2024-10,9660.0,66,13,66,-1120.0
0.5,lower_two_contract_threshold,month,2024-11,12010.0,63,8,66,-1320.0
0.5,lower_two_contract_threshold,month,2024-12,8550.0,51,10,53,-1630.0
0.5,lower_two_contract_threshold,month,2025-07,14390.0,81,4,118,-1360.0
0.5,lower_two_contract_threshold,month,2025-08,19480.0,79,10,101,-1520.0
0.5,lower_two_contract_threshold,month,2025-09,21150.0,98,2,135,-1710.0
0.5,lower_two_contract_threshold,month,2025-10,26730.0,107,0,113,-640.0
0.5,lower_two_contract_threshold,month,2025-11,32840.0,103,1,106,-1720.0
0.5,lower_two_contract_threshold,month,2025-12,9980.0,80,3,84,-1660.0
0.5,lower_two_contract_threshold,month,2026-01,15600.0,63,5,72,-1380.0
0.5,lower_two_contract_threshold,month,2026-02,20370.0,66,5,78,-3160.0
0.5,lower_two_contract_threshold,month,2026-03,28770.0,88,22,99,-1940.0
