Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + position state + curriculum learning
Training from scratch (v4: no warm-start).
Curriculum stages: 3 x 33% each

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

Starting curriculum stage 0: Conservative (OTM-only)
step 02700 ( 22.6%) | loss: 1.251583 | trade:0.36 call:0.67 put:0.33 | ATM:0.52 OTM:0.48 | stage:0 | lr: 1.50e-04 | left: 186s
step 02750 ( 22.8%) | loss: 1.252757 | trade:0.40 call:0.58 put:0.42 | ATM:0.56 OTM:0.44 | stage:0 | lr: 1.50e-04 | left: 185s
step 02800 ( 23.0%) | loss: 1.248176 | trade:0.39 call:0.66 put:0.34 | ATM:0.54 OTM:0.46 | stage:0 | lr: 1.50e-04 | left: 185s
step 02850 ( 23.2%) | loss: 1.206207 | trade:0.33 call:0.69 put:0.31 | ATM:0.62 OTM:0.38 | stage:0 | lr: 1.50e-04 | left: 184s
step 02900 ( 23.4%) | loss: 1.212072 | trade:0.43 call:0.65 put:0.35 | ATM:0.54 OTM:0.46 | stage:0 | lr: 1.50e-04 | left: 184s
step 02950 ( 23.6%) | loss: 1.218661 | trade:0.40 call:0.64 put:0.36 | ATM:0.54 OTM:0.46 | stage:0 | lr: 1.50e-04 | left: 183s
step 03000 ( 23.8%) | loss: 1.214784 | trade:0.44 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | stage:0 | lr: 1.50e-04 | left: 183s
step 03050 ( 24.0%) | loss: 1.198868 | trade:0.40 call:0.67 put:0.33 | ATM:0.58 OTM:0.42 | stage:0 | lr: 1.50e-04 | left: 182s
step 03100 ( 24.3%) | loss: 1.207593 | trade:0.43 call:0.67 put:0.33 | ATM:0.61 OTM:0.39 | stage:0 | lr: 1.50e-04 | left: 182s
step 03150 ( 24.6%) | loss: 1.184367 | trade:0.40 call:0.64 put:0.36 | ATM:0.55 OTM:0.45 | stage:0 | lr: 1.50e-04 | left: 181s
step 03200 ( 24.8%) | loss: 1.206673 | trade:0.38 call:0.65 put:0.35 | ATM:0.53 OTM:0.47 | stage:0 | lr: 1.50e-04 | left: 180s
step 03250 ( 25.1%) | loss: 1.210716 | trade:0.33 call:0.65 put:0.35 | ATM:0.58 OTM:0.42 | stage:0 | lr: 1.50e-04 | left: 180s
step 03300 ( 25.3%) | loss: 1.197994 | trade:0.41 call:0.69 put:0.31 | ATM:0.61 OTM:0.39 | stage:0 | lr: 1.50e-04 | left: 179s
step 03350 ( 25.5%) | loss: 1.200248 | trade:0.35 call:0.63 put:0.37 | ATM:0.63 OTM:0.37 | stage:0 | lr: 1.50e-04 | left: 179s
step 03400 ( 25.8%) | loss: 1.174753 | trade:0.37 call:0.63 put:0.37 | ATM:0.58 OTM:0.42 | stage:0 | lr: 1.50e-04 | left: 178s
step 03450 ( 26.0%) | loss: 1.167406 | trade:0.36 call:0.66 put:0.34 | ATM:0.52 OTM:0.48 | stage:0 | lr: 1.50e-04 | left: 178s
step 03500 ( 26.2%) | loss: 1.179140 | trade:0.35 call:0.66 put:0.34 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 177s
step 03550 ( 26.4%) | loss: 1.188212 | trade:0.36 call:0.66 put:0.34 | ATM:0.54 OTM:0.46 | stage:0 | lr: 1.50e-04 | left: 177s
