day,side,action_id,base_bar,base_pnl,base_hl,h3a_bar,h3a_pnl,h3a_hl
2024-11-07,call,1,240,172.76153564453125,169.87363891456977,250,35.45873260498047,16.02510103043552
2024-11-08,call,2,205,374.4098205566406,400.6735193251,258,914.8822021484375,992.7398228748137
2024-11-12,put,13,140,327.8042297363281,349.2527626984151,140,327.8042297363281,349.2527626984151
2024-11-13,put,13,-1,,,-1,,
2024-11-14,call,1,195,-798.6118774414062,-895.3242560572443,195,-798.6118774414062,-895.3242560572443
2024-11-15,put,13,205,1165.476318359375,1288.4199264029216,205,1165.476318359375,1288.4199264029216
2024-11-18,call,2,135,603.6400756835938,655.2540834475309,136,518.5,561.6000001955778
2024-11-19,call,1,190,1146.3414306640625,1246.3795410873258,249,1598.48779296875,1739.7557362470234
2024-11-20,call,1,117,-91.02770233154297,-175.61107010809127,251,-136.17919921875,-229.44719484839533
2024-11-26,put,13,234,-568.2540893554688,-641.2068448442726,230,-410.5491943359375,-467.0236611479902
2024-11-27,put,13,160,1656.2784423828125,1790.7124122895152,160,1656.2784423828125,1790.7124122895152
2024-11-29,call,4,186,879.1000366210938,977.4811030203495,185,836.530029296875,929.7945080896791
2024-12-02,put,13,135,-529.214599609375,-613.4810366011756,135,-529.214599609375,-613.4810366011756
2024-12-03,put,18,255,-43.209957122802734,-59.69640529204134,210,-202.6000213623047,-232.5153228261906
2024-12-04,put,13,197,-352.6099853515625,-463.4030198309677,171,-393.875,-506.2724107873014
2024-12-05,put,13,105,-114.09996032714844,-134.38537267347175,105,-114.09996032714844,-134.38537267347175
2024-12-06,put,13,195,992.4749755859375,1012.089791364013,201,884.2166137695312,892.6115130258962
2024-12-09,put,13,100,2141.666748046875,2386.8270749580115,100,2141.666748046875,2386.8270749580115
2024-12-10,put,19,170,399.49993896484375,430.312868147917,180,271.7899169921875,289.93320152186914
2024-12-11,put,18,126,-161.00314331054688,-197.13276701155854,126,-161.00314331054688,-197.13276701155854
2024-12-12,put,18,105,213.3169403076172,226.21079863749097,105,213.3169403076172,226.21079863749097
2024-12-13,put,13,120,-83.60003662109375,-100.72866104626863,109,-63.80005645751953,-78.79506240074986
2024-12-16,call,6,240,696.1000366210938,751.9185548761708,240,696.1000366210938,751.9185548761708
2024-12-17,put,19,230,333.611328125,338.87376519097495,230,333.611328125,338.87376519097495
2024-12-18,put,16,115,293.79998779296875,319.48635021427816,115,293.79998779296875,319.48635021427816
2024-12-19,put,17,215,1122.3499755859375,1236.7880676437878,205,609.4999389648438,663.6844552344687
2024-12-20,call,5,140,3726.504638671875,4086.1861880105625,140,3726.504638671875,4086.1861880105625
2024-12-23,put,18,130,-473.0115051269531,-544.0738507527057,130,-473.0115051269531,-544.0738507527057
2024-12-24,put,18,130,-343.00006103515625,-385.8478439076916,120,82.69994354248047,82.08430270262465
2024-12-26,call,1,195,242.69998168945312,200.14972514802787,175,440.6999816894531,419.12430108018185
2024-12-27,put,16,200,1697.6673583984375,1852.4312115114062,190,1912.8946533203125,2090.6927304143273
2024-12-30,put,18,195,-1088.8284912109375,-1268.2235382445729,192,-997.3307495117188,-1167.9279367665831
2024-12-31,put,18,200,648.81591796875,706.6199989667671,200,648.81591796875,706.6199989667671
2025-01-03,put,13,209,-634.0957641601562,-788.9973725870051,131,-322.99298095703125,-441.55080565155
2025-01-06,put,13,201,1491.0999755859375,1648.1346604099085,201,1491.0999755859375,1648.1346604099085
2025-01-07,put,16,201,2004.0816650390625,2220.241875562217,125,622.7046508789062,674.273964187065
2025-01-08,put,16,190,906.858642578125,990.4768950028572,133,-528.568359375,-603.1189516318456
2025-01-10,call,4,98,-681.1304321289062,-769.8663491183972,103,-632.04345703125,-715.4438332492566
2025-01-13,put,16,130,-119.1904525756836,-148.479319525675,130,-119.1904525756836,-148.479319525675
2025-01-14,put,17,191,323.8846130371094,340.3630542990223,190,411.1587219238281,438.20684011938454
2025-01-15,put,24,187,-525.0729370117188,-600.6510515353975,210,-359.8503112792969,-422.1933685007225
2025-01-16,put,19,145,-757.3872680664062,-915.2794458807493,107,-631.2896728515625,-777.6765954678758
2025-01-17,put,13,221,-296.22705078125,-344.7509516633592,118,145.6851043701172,148.1260841146218
2025-01-21,put,13,140,-170.7359619140625,-198.8345581198111,140,-170.7359619140625,-198.8345581198111
2025-01-22,call,6,160,337.5635070800781,359.8999330049121,160,337.5635070800781,359.8999330049121
2025-01-23,put,13,100,15.748490333557129,6.053025437850234,100,15.748490333557129,6.053025437850234
2025-01-24,put,13,221,999.3967895507812,1091.9931219521166,150,101.3281478881836,102.6956634496649
2025-01-27,put,17,175,447.3549499511719,467.743450190735,151,145.5991973876953,136.28732783440478
2025-01-28,put,13,155,-152.549560546875,-182.52149413514917,126,1078.3896484375,1167.694773510548
2025-01-29,put,16,150,-103.20001983642578,-122.46741311697532,150,-103.20001983642578,-122.46741311697532
2025-01-31,put,14,171,488.0100402832031,528.5246027700708,160,924.6000366210938,1009.125688802418
2025-02-03,call,4,136,363.38958740234375,390.8368365829296,136,363.38958740234375,390.8368365829296
2025-02-04,put,13,140,355.27020263671875,360.4587332765258,140,355.27020263671875,360.4587332765258
2025-02-05,put,13,130,-497.4349365234375,-570.0877614526148,150,-954.3990478515625,-1070.161694604148
2025-02-06,put,13,103,-46.912445068359375,-64.00632390094137,103,-46.912445068359375,-64.00632390094137
2025-02-07,put,17,211,-123.86492156982422,-164.4464863651467,185,539.7526245117188,555.9398382239282
2025-02-10,put,13,200,421.5,456.54521757123587,200,421.5,456.54521757123587
2025-02-11,put,13,165,855.7009887695312,878.5887091717498,165,855.7009887695312,878.5887091717498
2025-02-12,put,16,130,-345.2987365722656,-399.6394915151499,131,-306.158935546875,-356.3535251939186
2025-02-13,put,13,170,-128.1333465576172,-162.77731645892064,107,-421.13336181640625,-488.4182859151846
2025-02-14,put,13,142,652.1799926757812,718.5913556519557,140,689.800048828125,760.4864181852477
2025-02-18,put,13,135,-551.3592529296875,-701.5467841416737,135,-551.3592529296875,-701.5467841416737
2025-02-19,put,13,130,-193.69998168945312,-222.0862912746614,130,-193.69998168945312,-222.0862912746614
2025-02-20,put,13,222,-268.1435241699219,-317.5672484661846,240,-182.06002807617188,-223.358919473129
2025-02-21,put,13,245,4001.245849609375,4395.279570596435,245,4001.245849609375,4395.279570596435
2025-02-24,put,17,165,-815.1726684570312,-937.3706949874294,165,-815.1726684570312,-937.3706949874294
2025-02-26,put,16,252,4641.61328125,5120.4882811089565,121,403.3397521972656,436.363750202853
2025-02-28,put,17,122,768.114501953125,812.5312156090857,106,1137.3759765625,1215.9835674971066
2025-03-03,put,16,251,3454.46875,3665.54411942482,254,3182.545166015625,3372.1365054416656
2025-03-06,call,4,125,-265.5469055175781,-308.6588375042495,125,-265.5469055175781,-308.6588375042495
2025-03-24,put,13,140,116.64120483398438,111.2493918822292,140,116.64120483398438,111.2493918822292
2025-03-25,call,1,115,45.77770233154297,39.04914091938684,140,-398.4722900390625,-449.2732699949459
2025-05-27,put,13,112,110.40953063964844,112.97806666244793,112,110.40953063964844,112.97806666244793
2025-06-09,call,1,225,232.83819580078125,238.80458158709789,225,232.83819580078125,238.80458158709789
2025-06-11,put,13,110,-15.728837966918945,-28.434269326916706,110,-15.728837966918945,-28.434269326916706
2025-06-12,put,13,158,-128.0065155029297,-156.07532070854433,155,-9.997920036315918,-25.110282183109074
2025-06-16,put,13,112,8.586576461791992,-7.531382764961506,113,76.9375228881836,69.03482194670528
2025-06-17,put,14,131,344.5588684082031,356.62788000561875,125,844.0587158203125,902.0376385759557
2025-06-24,put,13,150,-318.7866516113281,-362.2086686301243,111,-22.62810516357422,-35.95270939220236
2025-06-25,put,13,220,221.0713653564453,234.51914757567567,185,21.45899200439453,14.37945185174646
2025-06-26,put,14,150,-127.9230728149414,-150.02336786329172,120,455.7230529785156,489.74257771799773
2025-06-27,put,14,-1,,,-1,,
2025-06-30,put,13,120,-193.6667022705078,-226.09031714250645,120,-193.6667022705078,-226.09031714250645
2025-07-01,put,13,200,-537.4000244140625,-610.5850275100022,105,881.3010864257812,953.5061944138258
2025-07-02,call,1,200,422.4218444824219,452.25214036584407,200,422.4218444824219,452.25214036584407
2025-07-03,put,19,130,-353.8737487792969,-469.5253966201192,124,-216.18971252441406,-314.7164805590382
2025-07-07,put,13,152,281.5000305175781,301.8022475344509,145,622.0599975585938,677.2556543669964
2025-07-08,put,13,220,392.5999755859375,424.08168293555417,85,1137.0799560546875,1257.3594961614522
2025-07-09,put,13,181,-338.4312744140625,-384.7095318213105,128,125.40003967285156,127.4375441496571
2025-07-10,call,6,-1,,,-1,,
2025-07-11,call,1,101,-481.0000305175781,-598.492146623152,150,-334.47998046875,-437.08184781652346
2025-07-14,call,6,-1,,,-1,,
2025-07-15,call,1,120,63.70005798339844,1.6867036950185934,120,63.70005798339844,1.6867036950185934
2025-07-16,call,1,105,93.19998168945312,94.06152445613218,105,93.19998168945312,94.06152445613218
2025-07-17,call,6,160,514.24560546875,560.8321873061378,166,326.5789794921875,352.5880797225237
2025-07-18,put,13,-1,,,-1,,
2025-07-21,call,5,170,-349.7121276855469,-397.534230781049,155,-191.3304901123047,-220.9895607403573
2025-07-22,put,13,120,-25.634979248046875,-47.413044578311116,152,62.15998458862305,50.35861969434403
2025-07-23,call,6,256,1759.0,1947.186363808472,256,1759.0,1947.186363808472
2025-07-24,call,6,160,-481.199951171875,-538.388011797059,160,-481.199951171875,-538.388011797059
2025-07-25,call,6,225,714.0515747070312,763.0486746488775,225,714.0515747070312,763.0486746488775
2025-07-28,call,6,105,-196.5133819580078,-228.52194775268435,105,-196.5133819580078,-228.52194775268435
2025-07-29,call,6,115,-797.5999755859375,-947.8612855131396,115,-797.5999755859375,-947.8612855131396
