seed,day,side,bar_index,pred_dollar_score,pred_return_score,pred_win_prob,pred_clean_entry_prob,pred_stopout_risk,decision_margin,sigma_pos,iv_percentile,hl,sigma_b,iv_b,cell_id
45,2025-10-15,put,103,0.08383443206548691,0.33378028869628906,0.45287221670150757,0.2546025812625885,0.24653932452201843,0.4221278131008148,0.18367883563041687,0.7900000214576721,2266.5297098980163,1,2,5
45,2025-10-16,put,102,0.16512078046798706,0.3617558181285858,0.4484727382659912,0.2477322369813919,0.26106277108192444,0.39573708176612854,1.3905489444732666,0.9021367430686951,1692.3222690727277,2,2,8
45,2025-10-20,put,85,-0.1395377814769745,0.24430599808692932,0.4490216374397278,0.2604348361492157,0.2335093915462494,0.430817574262619,2.331263542175293,0.5017521381378174,84.14945912361145,2,1,7
45,2025-10-21,put,101,0.2276614010334015,0.3756266236305237,0.48523327708244324,0.2959362268447876,0.207451730966568,0.5277649760246277,2.232001781463623,0.35901710391044617,-402.10883610375225,2,1,7
45,2025-10-23,put,92,0.21511715650558472,0.36935955286026,0.46463367342948914,0.2729097902774811,0.24225856363773346,0.4288055896759033,0.5812013745307922,0.7088888883590698,-652.9188100103526,1,2,5
45,2025-10-24,put,105,-0.09461398422718048,0.2527371644973755,0.455720454454422,0.27049586176872253,0.2331022024154663,0.45570501685142517,1.3809003829956055,0.4850427210330963,-38.18008613696883,2,1,7
45,2025-10-27,call,105,-0.1070544570684433,0.28165677189826965,0.5083921551704407,0.33356067538261414,0.14243854582309723,0.7565462589263916,0.5451385974884033,0.08991453051567078,465.2927959190357,1,0,3
45,2025-10-28,put,118,-0.06577672809362411,0.25920021533966064,0.4624726474285126,0.27933719754219055,0.2212357372045517,0.44254636764526367,-1.222616195678711,0.3655555546283722,-352.99256517119784,0,1,1
45,2025-10-30,put,91,-0.05064190551638603,0.2622286379337311,0.4409092962741852,0.25811633467674255,0.27245455980300903,0.3965431749820709,0.624097466468811,0.8653846383094788,513.9298123932058,1,2,5
45,2025-11-05,put,63,0.1134372279047966,0.3222646415233612,0.4551934003829956,0.2696859836578369,0.25545576214790344,0.4137498438358307,1.2813987731933594,0.7303845882415771,268.31848719593313,2,2,8
