day,bar_index,window_idx,rule,pnl,pred_score,label,v0_pnl,v1_pnl
2024-03-01,120,4,V0,-877.544781514484,7.650745299724267e-05,0.0,-877.544781514484,-877.544781514484
2024-03-04,30,4,V0,-580.3728922584961,0.0008476544096352221,0.0,-580.3728922584961,-580.3728922584961
2024-03-06,72,4,V0,-471.16798601293794,0.04436775282486239,0.0,-471.16798601293794,-471.16798601293794
2024-03-07,117,4,V0,-793.4660433770871,3.6178861034381054e-05,0.0,-793.4660433770871,-793.4660433770871
2024-03-08,75,4,V0,-1111.1013920436037,0.003466741484889956,1.0,-1111.1013920436037,4509.862959202352
2024-03-11,115,4,V0,-855.3666568806932,4.101666407688663e-05,0.0,-855.3666568806932,-855.3666568806932
2024-03-12,119,4,V0,-55.26999235294758,0.007222737541478544,0.0,-55.26999235294758,-55.26999235294758
2024-03-13,36,4,V1,-738.1920801470117,0.7129384419895115,0.0,239.5482035988163,-738.1920801470117
2024-03-14,38,4,V0,-676.7999898239971,0.012828234249557374,0.0,-676.7999898239971,-676.7999898239971
2024-03-15,106,4,V0,331.40528983766285,4.507274640672423e-05,0.0,331.40528983766285,331.40528983766285
2024-03-18,38,4,V0,337.5592809287161,0.0005394845973561371,0.0,337.5592809287161,337.5592809287161
2024-03-19,56,4,V0,-1150.3699881649763,0.0012441270805097968,0.0,-1150.3699881649763,-1150.3699881649763
2024-03-21,105,4,V0,236.00003866106272,0.00026793611540523027,0.0,236.00003866106272,236.00003866106272
2024-03-22,120,4,V0,-626.1000381909311,0.0002220719668273943,0.0,-626.1000381909311,-626.1000381909311
2024-03-25,34,4,V0,-606.1299822003394,2.4576178992068986e-05,0.0,-606.1299822003394,-606.1299822003394
2024-03-26,40,5,V0,141.7232156326511,0.0003350749885277637,0.0,141.7232156326511,141.7232156326511
2024-03-27,49,5,V0,-215.5602129962141,6.018786396362086e-05,0.0,-215.5602129962141,-215.5602129962141
2024-04-01,63,5,V0,773.0295102238047,0.00025034860656318006,0.0,773.0295102238047,773.0295102238047
2024-04-02,87,5,V0,-786.2899576360733,4.708043340683546e-05,0.0,-786.2899576360733,-786.2899576360733
2024-04-05,79,5,V0,-515.8375033150116,0.00014812387973591175,0.0,-515.8375033150116,-515.8375033150116
2024-04-08,59,5,V0,-242.6329587989665,5.8028299736758445e-05,0.0,-242.6329587989665,-242.6329587989665
2024-04-09,52,5,V0,1607.9499815415593,0.00018227976036371793,0.0,1607.9499815415593,1607.9499815415593
2024-04-10,34,5,V0,-476.5618264038184,0.003771961595515115,0.0,-476.5618264038184,-476.5618264038184
2024-04-15,32,5,V0,7670.270334610269,5.44643343908472e-05,0.0,7670.270334610269,7670.270334610269
2024-04-18,38,5,V0,-26.899999892711634,0.003127012990063548,0.0,-26.899999892711634,-26.899999892711634
2024-04-22,118,5,V0,-949.3928773791664,0.0004961119859557515,0.0,-949.3928773791664,-949.3928773791664
2024-04-23,30,5,V0,1487.9061319039058,0.0034889784555725573,0.0,1487.9061319039058,-977.5116707406052
2024-04-29,36,5,V0,-622.8571681593145,0.00282069282700709,0.0,-622.8571681593145,-622.8571681593145
2024-05-01,110,5,V0,-210.12998817570508,0.0003210023201511546,0.0,-210.12998817570508,-210.12998817570508
2024-05-07,31,5,V0,-304.15590577169297,0.00030544089545511135,0.0,-304.15590577169297,-304.15590577169297
2024-05-08,58,5,V0,-291.0833330117166,0.00033603013924374665,0.0,-291.0833330117166,-310.2901675306114
2024-05-09,98,5,V0,-68.47002651236951,2.9672588159833055e-05,0.0,-68.47002651236951,-68.47002651236951
2024-05-14,38,5,V0,-340.24976316615556,1.5216886558543978e-05,0.0,-340.24976316615556,-340.24976316615556
2024-05-15,120,5,V0,-736.4000283613801,6.376353077074581e-05,0.0,-736.4000283613801,-736.4000283613801
2024-05-16,30,5,V0,-2.800018776953216,2.559775286844877e-05,0.0,-2.800018776953216,-2.800018776953216
2024-05-17,30,5,V0,-439.481699317793,0.04676700121097164,1.0,-439.481699317793,-331.9505835095086
2024-05-20,30,5,V0,-763.0064099585011,0.03475483100061188,1.0,-763.0064099585011,265.01835222517707
2024-05-22,33,5,V0,763.2999635718762,0.00026483213334608466,0.0,763.2999635718762,763.2999635718762
2024-05-23,45,5,V0,3000.1921387165785,0.09553994973284641,0.0,3000.1921387165785,3000.1921387165785
2024-05-31,30,5,V0,773.3542169382174,0.0034322053911974722,0.0,773.3542169382174,773.3542169382174
2024-06-03,50,5,V0,2139.2986130677164,0.00018426276631839896,0.0,2139.2986130677164,2139.2986130677164
2024-06-04,33,5,V0,-200.1466898314158,2.4946052834383198e-05,0.0,-200.1466898314158,-200.1466898314158
2024-06-05,101,5,V0,-855.8495379327549,0.0002263887962174912,0.0,-855.8495379327549,-855.8495379327549
2024-06-06,30,5,V0,-228.2200327913463,0.00021769823429719157,0.0,-228.2200327913463,-228.2200327913463
2024-06-07,71,5,V0,-471.9640295573331,0.0001524189753388189,0.0,-471.9640295573331,-471.9640295573331
2024-06-11,108,5,V0,-706.0350037352741,0.0003038009353358843,0.0,-706.0350037352741,-706.0350037352741
2024-06-12,59,5,V0,412.59996282458303,0.00014837298010745453,0.0,412.59996282458303,412.59996282458303
2024-06-13,39,5,V0,-147.49998108297595,0.00021554562243501343,0.0,-147.49998108297595,-147.49998108297595
2024-06-18,98,5,V0,-924.590015085265,2.321275574674241e-05,0.0,-924.590015085265,-924.590015085265
2024-06-20,33,5,V0,2627.1400834327937,3.836660381152126e-05,0.0,2627.1400834327937,2627.1400834327937
2024-06-24,30,6,V0,838.5599859483076,0.025871096237446965,0.0,838.5599859483076,838.5599859483076
2024-07-02,109,6,V0,-964.3999757155776,0.003921014623153222,0.0,-964.3999757155776,-964.3999757155776
2024-07-09,91,6,V0,-26.481767292030355,0.0024168759530952483,0.0,-26.481767292030355,-26.481767292030355
2024-07-17,31,6,V0,769.4427078811342,0.018575131586771817,0.0,769.4427078811342,769.4427078811342
2024-07-19,30,6,V0,1451.347789681476,0.0007460687580638527,0.0,1451.347789681476,1451.347789681476
2024-07-23,31,6,V0,-327.41280676318553,0.0009589187461759549,0.0,-327.41280676318553,-327.41280676318553
2024-07-30,30,6,V0,3382.678882975893,6.793782625434691e-05,0.0,3382.678882975893,3382.678882975893
2024-08-05,85,6,V0,-116.06681361062265,0.00199157495942814,0.0,-116.06681361062265,-870.4411387079779
2024-08-06,39,6,V0,-1093.9607026517497,0.0003296583180049435,0.0,-1093.9607026517497,-1093.9607026517497
2024-08-08,30,6,V0,-1066.639228512585,0.0035216100115906986,0.0,-1066.639228512585,-1066.639228512585
2024-08-09,116,6,V0,-804.9114573970437,0.0006228989385659502,0.0,-804.9114573970437,-804.9114573970437
2024-08-14,60,6,V0,-1016.3799856294692,0.004806629964809912,0.0,-1016.3799856294692,-1016.3799856294692
2024-08-16,38,6,V0,374.72750233680097,0.0036723867642968664,0.0,374.72750233680097,-1093.078263027383
2024-08-21,45,6,V0,-877.6313507388036,0.0008024981081280632,0.0,-877.6313507388036,-877.6313507388036
2024-08-26,30,6,V0,2397.8035480406666,0.007279220973997278,0.0,2397.8035480406666,2397.8035480406666
