Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + risk-aware curriculum
Risk curriculum: 4 stages, ruin weight=2.0
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 03650 ( 37.2%) | loss: 1.173738 | trade:0.29 call:0.64 put:0.36 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 151s
step 03700 ( 37.7%) | loss: 1.166999 | trade:0.33 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 149s
step 03750 ( 38.3%) | loss: 1.198259 | trade:0.26 call:0.65 put:0.35 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 148s
step 03800 ( 38.8%) | loss: 1.170306 | trade:0.32 call:0.58 put:0.42 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 147s
step 03850 ( 39.3%) | loss: 1.155292 | trade:0.32 call:0.58 put:0.42 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 146s
step 03900 ( 39.8%) | loss: 1.156804 | trade:0.37 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 144s
step 03950 ( 40.4%) | loss: 1.133886 | trade:0.25 call:0.66 put:0.34 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 143s
step 04000 ( 40.9%) | loss: 1.148311 | trade:0.33 call:0.63 put:0.37 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 142s
step 04050 ( 41.4%) | loss: 1.160478 | trade:0.36 call:0.61 put:0.39 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 141s
step 04100 ( 41.7%) | loss: 1.146715 | trade:0.28 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 140s
step 04150 ( 42.0%) | loss: 1.125274 | trade:0.31 call:0.56 put:0.44 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 139s
step 04200 ( 42.3%) | loss: 1.122642 | trade:0.30 call:0.61 put:0.39 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 138s
step 04250 ( 42.5%) | loss: 1.131792 | trade:0.31 call:0.59 put:0.41 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 138s
step 04300 ( 43.0%) | loss: 1.148311 | trade:0.36 call:0.61 put:0.39 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 137s
step 04350 ( 43.5%) | loss: 1.127491 | trade:0.29 call:0.65 put:0.35 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 136s
step 04400 ( 44.0%) | loss: 1.144165 | trade:0.31 call:0.62 put:0.38 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 134s
step 04450 ( 44.5%) | loss: 1.119901 | trade:0.36 call:0.62 put:0.38 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 133s
step 04500 ( 45.1%) | loss: 1.128583 | trade:0.34 call:0.62 put:0.38 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 132s
step 04550 ( 45.6%) | loss: 1.110829 | trade:0.32 call:0.59 put:0.41 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 131s
step 04600 ( 46.1%) | loss: 1.118710 | trade:0.32 call:0.64 put:0.36 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 129s
step 04650 ( 46.6%) | loss: 1.120914 | trade:0.32 call:0.59 put:0.41 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 128s
step 04700 ( 47.2%) | loss: 1.126210 | trade:0.37 call:0.62 put:0.38 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 127s
step 04750 ( 47.7%) | loss: 1.152403 | trade:0.29 call:0.60 put:0.40 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 125s
step 04800 ( 48.2%) | loss: 1.105016 | trade:0.36 call:0.60 put:0.40 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 124s
step 04850 ( 48.7%) | loss: 1.113172 | trade:0.37 call:0.61 put:0.39 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 123s
step 04900 ( 49.3%) | loss: 1.100594 | trade:0.28 call:0.64 put:0.36 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 122s
step 04950 ( 49.8%) | loss: 1.142314 | trade:0.33 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 120s
step 05000 ( 50.3%) | loss: 1.112580 | trade:0.36 call:0.57 put:0.43 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 119s
step 05050 ( 50.9%) | loss: 1.088113 | trade:0.34 call:0.62 put:0.38 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 118s
step 05100 ( 51.4%) | loss: 1.102671 | trade:0.32 call:0.62 put:0.38 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 117s
step 05150 ( 51.9%) | loss: 1.084181 | trade:0.38 call:0.55 put:0.45 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 115s
step 05200 ( 52.4%) | loss: 1.081814 | trade:0.33 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 114s
step 05250 ( 52.9%) | loss: 1.092468 | trade:0.31 call:0.65 put:0.35 | ATM:0.69 OTM:0.31 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 113s
step 05300 ( 53.4%) | loss: 1.089978 | trade:0.33 call:0.64 put:0.36 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 112s
step 05350 ( 53.9%) | loss: 1.110527 | trade:0.29 call:0.64 put:0.36 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 111s
step 05400 ( 54.5%) | loss: 1.085114 | trade:0.41 call:0.57 put:0.43 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 109s
step 05450 ( 55.0%) | loss: 1.062581 | trade:0.38 call:0.55 put:0.45 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 108s
step 05500 ( 55.5%) | loss: 1.070391 | trade:0.35 call:0.53 put:0.47 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 107s
step 05550 ( 56.0%) | loss: 1.090514 | trade:0.34 call:0.58 put:0.42 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 106s
step 05600 ( 56.5%) | loss: 1.079504 | trade:0.35 call:0.63 put:0.37 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 104s
step 05650 ( 57.0%) | loss: 1.079410 | trade:0.31 call:0.65 put:0.35 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 103s
step 05700 ( 57.5%) | loss: 1.086300 | trade:0.41 call:0.61 put:0.39 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 102s
step 05750 ( 58.0%) | loss: 1.063730 | trade:0.35 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 101s
step 05800 ( 58.6%) | loss: 1.070515 | trade:0.35 call:0.62 put:0.38 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 99s
step 05850 ( 59.1%) | loss: 1.048735 | trade:0.35 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 98s
step 05900 ( 59.6%) | loss: 1.088029 | trade:0.39 call:0.61 put:0.39 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 97s
step 05950 ( 60.1%) | loss: 1.041450 | trade:0.34 call:0.53 put:0.47 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 96s
