Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Curriculum learning: enabled
  Stages: 3 | Selectivity growth: 1.5x
Label smoothing: gate=0.05 dir=0.05

step 06050 ( 61.3%) | loss: 1.099778 | trade:0.34 call:0.59 put:0.41 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 93s | cur_stage:1 thresh:0.048
step 06100 ( 61.8%) | loss: 1.088580 | trade:0.30 call:0.55 put:0.45 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 92s | cur_stage:1 thresh:0.048
step 06150 ( 62.3%) | loss: 1.076696 | trade:0.27 call:0.60 put:0.40 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 90s | cur_stage:1 thresh:0.048
step 06200 ( 62.8%) | loss: 1.071012 | trade:0.32 call:0.54 put:0.46 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 89s | cur_stage:1 thresh:0.049
step 06250 ( 63.3%) | loss: 1.064905 | trade:0.35 call:0.67 put:0.33 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 88s | cur_stage:1 thresh:0.049
step 06300 ( 63.8%) | loss: 1.074170 | trade:0.34 call:0.60 put:0.40 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 87s | cur_stage:1 thresh:0.049
step 06350 ( 64.3%) | loss: 1.078135 | trade:0.31 call:0.64 put:0.36 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | left: 86s | cur_stage:1 thresh:0.049
step 06400 ( 64.8%) | loss: 1.092913 | trade:0.34 call:0.60 put:0.40 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | left: 84s | cur_stage:1 thresh:0.049
step 06450 ( 65.3%) | loss: 1.070070 | trade:0.32 call:0.51 put:0.49 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 83s | cur_stage:1 thresh:0.049
step 06500 ( 65.8%) | loss: 1.070995 | trade:0.30 call:0.52 put:0.48 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 82s | cur_stage:1 thresh:0.050
step 06550 ( 66.3%) | loss: 1.076838 | trade:0.36 call:0.60 put:0.40 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 81s | cur_stage:1 thresh:0.050
step 06600 ( 66.8%) | loss: 1.071588 | trade:0.36 call:0.59 put:0.41 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 80s | cur_stage:2 thresh:0.100
step 06650 ( 67.3%) | loss: 1.059121 | trade:0.37 call:0.63 put:0.37 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | left: 78s | cur_stage:2 thresh:0.101
