abs_delta,abs_single_feature_score_delta,case,contract_id,decision_ts,delta_historical_minus_live,family,feature,historical_score,historical_value,live_score,live_value,score_delta_historical_minus_live,session,single_feature_live_to_historical_score,single_feature_score_delta
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.ask,43.98440170288086,10.399999618530273,44.0284538269043,10.399999618530273,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.mid,43.98440170288086,10.350000381469727,44.0284538269043,10.350000381469727,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.spread,43.98440170288086,0.10000000149011612,44.0284538269043,0.10000000149011612,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.spread_frac,43.98440170288086,0.009661835618317127,44.0284538269043,0.009661835618317127,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.option_ohlcv_volume,43.98440170288086,0.0,44.0284538269043,0.0,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.stat_open_interest,43.98440170288086,0.0,44.0284538269043,0.0,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.iv,43.98440170288086,0.19257596135139465,44.0284538269043,0.19257596135139465,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.delta,43.98440170288086,-0.3860929608345032,44.0284538269043,-0.3860929608345032,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.gamma,43.98440170288086,0.010038006119430065,44.0284538269043,0.010038006119430065,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.theta,43.98440170288086,-28.5201358795166,44.0284538269043,-28.5201358795166,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
26.0,0.0440521240234375,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,26.0,option,option.bid_size,43.98440170288086,32.0,44.0284538269043,6.0,-0.0440521240234375,2026-07-02,43.98440170288086,-0.0440521240234375
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.bid,43.98440170288086,10.300000190734863,44.0284538269043,10.300000190734863,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.ask,43.98440170288086,10.399999618530273,44.0284538269043,10.399999618530273,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.mid,43.98440170288086,10.350000381469727,44.0284538269043,10.350000381469727,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.spread,43.98440170288086,0.10000000149011612,44.0284538269043,0.10000000149011612,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.spread_frac,43.98440170288086,0.009661835618317127,44.0284538269043,0.009661835618317127,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
17.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,-17.0,option,option.ask_size,43.98440170288086,84.0,44.0284538269043,101.0,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.option_ohlcv_volume,43.98440170288086,0.0,44.0284538269043,0.0,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.stat_open_interest,43.98440170288086,0.0,44.0284538269043,0.0,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.iv,43.98440170288086,0.19257596135139465,44.0284538269043,0.19257596135139465,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.delta,43.98440170288086,-0.3860929608345032,44.0284538269043,-0.3860929608345032,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.gamma,43.98440170288086,0.010038006119430065,44.0284538269043,0.010038006119430065,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.theta,43.98440170288086,-28.5201358795166,44.0284538269043,-28.5201358795166,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.distance_points,43.98440170288086,-10.0,44.0284538269043,-10.0,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.breakeven_distance,43.98440170288086,21.06999969482422,44.0284538269043,21.06999969482422,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
