contract_id,decision_time,decision_top_label,decision_top_label_contract_id,decision_top_label_score,decision_top_score,decision_top_score_label,entry_ask,entry_bid,entry_mid,feature_contract_version,feature_hash,label_net_pnl,label_rank,model_feature_hash,momentum15_side,offset,offset_bucket,omar_side,premium_bucket,quote_age_ms,range_bucket,right,right_idx,score,score_rank,selected_by_policy,session,source_context_time,source_quote_time,split,spread,strike_idx,time_bucket,tradable,vwap_side
SPXW-20260319-06565.000-P,2026-03-19T14:20:00+00:00,830.0,SPXW-20260319-06605.000-P,0.7078173756599426,0.7078173756599426,170.0,13.1,12.9,13.0,protocol101-live-v1,432e3bd47747f11c8ed58627ff5a14d4678bc2cf20cb91d1d24266a6f249e33b,390.0,9,432e3bd47747f11c8ed58627ff5a14d4678bc2cf20cb91d1d24266a6f249e33b,mom15_neg,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.7078173756599426,8,True,2026-03-19,2026-03-19T14:19:00+00:00,2026-03-19T14:20:00+00:00,diagnostic_test,0.1999999999999993,6,morning_1000_1129,True,below_vwap
SPXW-20260319-06565.000-P,2026-03-19T14:44:00+00:00,60.0,SPXW-20260319-06565.000-C,0.7052148580551147,0.7052148580551147,-90.0,11.7,11.5,11.6,protocol101-live-v1,fb58b1d6df0006208e632359f4a3dee84093aef0ec1397d619f4387ef844b7ea,-190.0,22,fb58b1d6df0006208e632359f4a3dee84093aef0ec1397d619f4387ef844b7ea,mom15_pos,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.7052148580551147,9,True,2026-03-19,2026-03-19T14:43:00+00:00,2026-03-19T14:44:00+00:00,diagnostic_test,0.1999999999999993,6,morning_1000_1129,True,below_vwap
SPXW-20260319-06565.000-P,2026-03-19T15:22:00+00:00,250.0,SPXW-20260319-06610.000-P,0.7089176177978516,0.7089176177978516,40.0,9.5,9.3,9.4,protocol101-live-v1,a3557c40b0a54ccda2f1711b31df2ab41e9368791a214f1e207a8d10cdec34bd,100.0,10,a3557c40b0a54ccda2f1711b31df2ab41e9368791a214f1e207a8d10cdec34bd,mom15_neg,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.7089176177978516,9,True,2026-03-19,2026-03-19T15:21:00+00:00,2026-03-19T15:22:00+00:00,diagnostic_test,0.1999999999999993,6,morning_1000_1129,True,above_vwap
SPXW-20260320-06535.000-P,2026-03-20T16:28:00+00:00,480.0,SPXW-20260320-06580.000-P,0.7228309512138367,0.7228309512138367,30.0,5.6,5.5,5.55,protocol101-live-v1,6f889cda849df95d9839022ea61bc541b9d42f10d8a0e569d305fa3c12fbb541,150.0,11,6f889cda849df95d9839022ea61bc541b9d42f10d8a0e569d305fa3c12fbb541,mom15_neg,-20.0,near_10_20,omar_neg,3_to_7_5,0.0,range_45_80,P,1,0.7228309512138367,8,True,2026-03-20,2026-03-20T16:27:00+00:00,2026-03-20T16:28:00+00:00,diagnostic_test,0.09999999999999964,6,midday_1130_1329,True,above_vwap
SPXW-20260324-06525.000-P,2026-03-24T13:40:00+00:00,600.0,SPXW-20260324-06555.000-P,0.7434257864952087,0.7434257864952087,230.0,17.7,17.5,17.6,protocol101-live-v1,90a47ca38130c9c9f59bcdc5cc94b47121024086c0588ffa4d1e99082e4b51f3,390.0,7,90a47ca38130c9c9f59bcdc5cc94b47121024086c0588ffa4d1e99082e4b51f3,mom15_flat,-20.0,near_10_20,omar_pos,gte_15,0.0,range_lt_20,P,1,0.7434257864952087,7,True,2026-03-24,2026-03-24T13:39:00+00:00,2026-03-24T13:40:00+00:00,diagnostic_test,0.1999999999999993,6,open_0931_0959,True,below_vwap
SPXW-20260324-06520.000-P,2026-03-24T13:59:00+00:00,1230.0,SPXW-20260324-06520.000-C,0.7323900461196899,0.7323900461196899,-280.0,13.5,13.3,13.4,protocol101-live-v1,40cfce8d9c30e0a76c8a008a267b1337ffeee3076fe91ba094eb889720e89570,-570.0,22,40cfce8d9c30e0a76c8a008a267b1337ffeee3076fe91ba094eb889720e89570,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.7323900461196899,8,True,2026-03-24,2026-03-24T13:58:00+00:00,2026-03-24T13:59:00+00:00,diagnostic_test,0.1999999999999993,6,open_0931_0959,True,above_vwap
SPXW-20260324-06540.000-P,2026-03-24T14:52:00+00:00,480.0,SPXW-20260324-06570.000-C,0.780547559261322,0.780547559261322,480.0,9.4,8.9,9.15,protocol101-live-v1,11280007cc2c9fb497debbcfa3a5648999ecd446db3fec67d24e0832fdcf3283,-130.0,9,11280007cc2c9fb497debbcfa3a5648999ecd446db3fec67d24e0832fdcf3283,mom15_neg,-10.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.7434056997299194,9,True,2026-03-24,2026-03-24T14:51:00+00:00,2026-03-24T14:52:00+00:00,diagnostic_test,0.5,8,morning_1000_1129,True,above_vwap
SPXW-20260325-06605.000-P,2026-03-25T13:41:00+00:00,2710.0,SPXW-20260325-06655.000-P,0.7181365489959717,0.7181365489959717,420.0,12.3,12.2,12.25,protocol101-live-v1,f6c2736766bec48762d3b5d7023ba79aa402f9a4071691e0b116ddb4e7dbb55d,810.0,11,f6c2736766bec48762d3b5d7023ba79aa402f9a4071691e0b116ddb4e7dbb55d,mom15_flat,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_lt_20,P,1,0.7181365489959717,7,True,2026-03-25,2026-03-25T13:40:00+00:00,2026-03-25T13:41:00+00:00,diagnostic_test,0.10000000000000142,6,open_0931_0959,True,below_vwap
SPXW-20260325-06585.000-P,2026-03-25T14:16:00+00:00,70.0,SPXW-20260325-06585.000-C,0.7502371072769165,0.7502371072769165,-100.0,12.1,11.9,12.0,protocol101-live-v1,cbb109fa8ad496b2ce276b980343892e86f76bf79b5c27cdbd029507e344d322,-140.0,20,cbb109fa8ad496b2ce276b980343892e86f76bf79b5c27cdbd029507e344d322,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_45_80,P,1,0.7502371072769165,8,True,2026-03-25,2026-03-25T14:15:00+00:00,2026-03-25T14:16:00+00:00,diagnostic_test,0.1999999999999993,6,morning_1000_1129,True,below_vwap
SPXW-20260325-06585.000-P,2026-03-25T14:31:00+00:00,-35.0,SPXW-20260325-06655.000-C,0.7239196300506592,0.7239196300506592,-50.0,10.6,10.5,10.55,protocol101-live-v1,f0230e0e4ece0dc66b8ab18e9cbedda62ffa617155f59adf43fedc4f80c0f754,-60.0,21,f0230e0e4ece0dc66b8ab18e9cbedda62ffa617155f59adf43fedc4f80c0f754,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_45_80,P,1,0.7239196300506592,8,True,2026-03-25,2026-03-25T14:30:00+00:00,2026-03-25T14:31:00+00:00,diagnostic_test,0.09999999999999964,6,morning_1000_1129,True,above_vwap
SPXW-20260327-06415.000-P,2026-03-27T13:40:00+00:00,420.0,SPXW-20260327-06420.000-C,0.7258738279342651,0.7258738279342651,-280.0,15.6,15.5,15.55,protocol101-live-v1,f03652bf5eefa6c8c24d8de2139bc6de8e00d67a2446174377278e9537436a32,-420.0,19,f03652bf5eefa6c8c24d8de2139bc6de8e00d67a2446174377278e9537436a32,mom15_flat,-20.0,near_10_20,omar_neg,gte_15,0.0,range_20_45,P,1,0.7258738279342651,7,True,2026-03-27,2026-03-27T13:39:00+00:00,2026-03-27T13:40:00+00:00,diagnostic_test,0.09999999999999964,6,open_0931_0959,True,above_vwap
SPXW-20260327-06410.000-P,2026-03-27T14:20:00+00:00,940.0,SPXW-20260327-06450.000-P,0.7109378576278687,0.7109378576278687,200.0,13.4,13.2,13.3,protocol101-live-v1,c23463d53386cd7ccc9d33dd4666b230cfa0b18cb2cd93a09a3a42aa927d1d22,460.0,9,c23463d53386cd7ccc9d33dd4666b230cfa0b18cb2cd93a09a3a42aa927d1d22,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.7109378576278687,8,True,2026-03-27,2026-03-27T14:19:00+00:00,2026-03-27T14:20:00+00:00,diagnostic_test,0.20000000000000107,6,morning_1000_1129,True,above_vwap
SPXW-20260327-06405.000-P,2026-03-27T14:55:00+00:00,730.0,SPXW-20260327-06400.000-C,0.7112736701965332,0.7112736701965332,-210.0,13.3,13.2,13.25,protocol101-live-v1,1f94c90e99f63833b16738f938a8f9da58d380980f405d4537a314fdd84128a4,-470.0,23,1f94c90e99f63833b16738f938a8f9da58d380980f405d4537a314fdd84128a4,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.7112736701965332,9,True,2026-03-27,2026-03-27T14:54:00+00:00,2026-03-27T14:55:00+00:00,diagnostic_test,0.10000000000000142,6,morning_1000_1129,True,below_vwap
SPXW-20260330-06370.000-P,2026-03-30T14:14:00+00:00,140.0,SPXW-20260330-06410.000-P,0.7019329071044922,0.7019329071044922,0.0,13.9,13.8,13.850000000000001,protocol101-live-v1,2d43df7f6d73a33e007fd72a1468f41001fbb28c39454f3f467ff50c71fea699,40.0,9,2d43df7f6d73a33e007fd72a1468f41001fbb28c39454f3f467ff50c71fea699,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_45_80,P,1,0.7019329071044922,8,True,2026-03-30,2026-03-30T14:13:00+00:00,2026-03-30T14:14:00+00:00,diagnostic_test,0.09999999999999964,6,morning_1000_1129,True,below_vwap
SPXW-20260331-06420.000-P,2026-03-31T14:38:00+00:00,770.0,SPXW-20260331-06455.000-P,0.6990473866462708,0.7353686094284058,140.0,14.6,14.5,14.55,protocol101-live-v1,2d011aaf4064260675ff1dee2cde788ec278903fa5dbd2d4e4387eed00bbd736,390.0,8,2d011aaf4064260675ff1dee2cde788ec278903fa5dbd2d4e4387eed00bbd736,mom15_neg,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.6990473866462708,9,True,2026-03-31,2026-03-31T14:37:00+00:00,2026-03-31T14:38:00+00:00,diagnostic_test,0.09999999999999964,6,morning_1000_1129,True,above_vwap
SPXW-20260331-06415.000-P,2026-03-31T15:08:00+00:00,760.0,SPXW-20260331-06410.000-C,0.7840054631233215,0.7840054631233215,-120.0,12.1,11.9,12.0,protocol101-live-v1,b3f459d02ffe4056cc54681be6e1d6aa1a6f5442a4c4b66e9785be38cf10500d,-300.0,23,b3f459d02ffe4056cc54681be6e1d6aa1a6f5442a4c4b66e9785be38cf10500d,mom15_pos,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_45_80,P,1,0.7840054631233215,9,True,2026-03-31,2026-03-31T15:07:00+00:00,2026-03-31T15:08:00+00:00,diagnostic_test,0.1999999999999993,6,morning_1000_1129,True,above_vwap
SPXW-20260331-06410.000-P,2026-03-31T15:46:00+00:00,-35.0,SPXW-20260331-06480.000-C,0.7410524487495422,0.7514538764953613,-40.0,10.9,10.8,10.850000000000001,protocol101-live-v1,af1648ed3cc0c21d7701599268939b27d88ccda72b0f1e8cc3b10cf4594fa2f9,-60.0,19,af1648ed3cc0c21d7701599268939b27d88ccda72b0f1e8cc3b10cf4594fa2f9,mom15_pos,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_45_80,P,1,0.7410524487495422,9,True,2026-03-31,2026-03-31T15:45:00+00:00,2026-03-31T15:46:00+00:00,diagnostic_test,0.09999999999999964,6,midday_1130_1329,True,below_vwap
