policy_idx,heuristic,fold,threshold,net_pnl,max_drawdown_pct,trades_executed,trades_per_day
4,near_atm_band_momentum,3,0.22631312607548879,-3130.0000000000005,0.5487460261391734,135,3.0
4,near_atm_band_momentum,4,0.2295744416445,-11829.0,1.1537118629977554,68,1.511111111111111
4,internal_delta_geometry,0,-0.18384900670614962,-10699.000000000002,1.3953473750392957,63,1.4
4,internal_delta_geometry,1,-0.18608994759914724,2319.9999999999986,0.4081,135,3.0
4,internal_delta_geometry,2,-0.19006491673489728,-11192.0,1.0760446570972886,134,2.977777777777778
4,internal_delta_geometry,3,-0.19024378065961378,-16824.0,1.7187642325793229,123,2.7333333333333334
4,internal_delta_geometry,4,-0.1903279425633516,-13327.0,1.2447535018194507,124,2.7555555555555555
5,straddle_mid_expansion,0,56.800895402216426,-8550.0,1.1535,45,1.0
5,straddle_mid_expansion,1,64.42225077430605,-5772.0,0.6219,4,0.08888888888888889
5,straddle_mid_expansion,2,57.839400065309995,-10903.0,1.4186782746339532,26,0.5777777777777777
5,straddle_mid_expansion,3,55.01520478261862,9222.0,0.5236,31,0.6888888888888889
5,straddle_mid_expansion,4,53.45839003491943,-8837.000000000002,2.220799446270981,44,0.9777777777777777
5,put_call_ratio_skew,0,2.41465291065928,-12763.999999999998,1.5896561799941558,43,0.9555555555555556
5,put_call_ratio_skew,1,2.241270883027751,-4050.0000000000005,0.7623156796737945,45,1.0
5,put_call_ratio_skew,2,2.5884473287288405,-105.0000000000004,0.8277912526406385,45,1.0
5,put_call_ratio_skew,3,2.6089592984579792,7713.0,0.4784414840280762,44,0.9777777777777777
5,put_call_ratio_skew,4,2.6051557779395775,2835.0,1.0351389626482563,45,1.0
5,near_atm_band_momentum,0,0.22800974096538282,-14639.999999999996,1.3418396998996143,45,1.0
5,near_atm_band_momentum,1,0.2138699145288805,3090.0000000000005,0.3351,45,1.0
5,near_atm_band_momentum,2,0.2256719976675684,-9590.0,0.9590163934426229,45,1.0
5,near_atm_band_momentum,3,0.22631312607548879,10579.999999999998,0.4084,45,1.0
5,near_atm_band_momentum,4,0.2295744416445,-2389.9999999999977,1.3252810554678063,45,1.0
5,internal_delta_geometry,0,-0.18384900670614962,-4759.999999999999,0.8644152720713498,45,1.0
5,internal_delta_geometry,1,-0.18608994759914724,16760.0,0.4147,45,1.0
5,internal_delta_geometry,2,-0.19006491673489728,-7344.999999999999,1.1349258804645455,45,1.0
5,internal_delta_geometry,3,-0.19024378065961378,-2944.999999999999,0.988590137910507,45,1.0
5,internal_delta_geometry,4,-0.1903279425633516,3565.0000000000014,0.8714,45,1.0
6,straddle_mid_expansion,0,56.800895402216426,-8550.0,1.1535,45,1.0
6,straddle_mid_expansion,1,64.42225077430605,-5772.0,0.6219,4,0.08888888888888889
6,straddle_mid_expansion,2,57.839400065309995,-10903.0,1.4186782746339532,26,0.5777777777777777
6,straddle_mid_expansion,3,55.01520478261862,9381.999999999998,0.5236,31,0.6888888888888889
6,straddle_mid_expansion,4,53.45839003491943,-8837.000000000002,2.220799446270981,44,0.9777777777777777
6,put_call_ratio_skew,0,2.41465291065928,-12763.999999999998,1.5896561799941558,43,0.9555555555555556
6,put_call_ratio_skew,1,2.241270883027751,-4050.0000000000005,0.7623156796737945,45,1.0
6,put_call_ratio_skew,2,2.5884473287288405,-105.0000000000004,0.8277912526406385,45,1.0
