date,fold,side,entry_mid,entry_cost_per_contract,contracts,equity_before,net_pnl_dollars_per_contract,trade_pnl_dollars,equity_after
2025-07-11,2,P,9.010000228881836,901.0000228881836,5,2012910.0157785243,-256.4060230255127,-1282.0301151275635,2011627.9856633968
2025-07-14,2,P,9.260000228881836,926.0000228881836,5,2011627.9856633968,-81.5560230255127,-407.7801151275635,2011220.2055482692
2025-07-15,2,C,8.800000190734863,880.0000190734863,5,2011220.2055482692,-75.2799810409546,-376.39990520477295,2010843.8056430644
2025-07-17,2,P,10.600000381469727,1060.0000381469727,4,2010843.8056430644,-168.48003845214842,-673.9201538085937,2010169.885489256
2025-07-31,2,C,10.399999618530273,1039.9999618530273,4,2010169.885489256,31.680057525634766,126.72023010253906,2010296.6057193584
2025-08-01,2,C,16.799999237060547,1679.9999237060547,2,2010296.6057193584,-507.4399574279785,-1014.879914855957,2009281.7258045024
2025-08-04,2,C,10.5,1050.0,4,2009281.7258045024,-76.29998092651368,-305.19992370605473,2008976.5258807964
2025-08-07,2,C,12.5,1250.0,4,2008976.5258807964,159.99998092651367,639.9999237060547,2009616.5258045024
2025-08-12,2,C,9.399999618530273,939.9999618530273,5,2009616.5258045024,474.36001930236824,2371.8000965118413,2011988.3259010143
2025-08-15,2,C,9.100000381469727,910.0000381469727,5,2011988.3259010143,262.7199806213379,1313.5999031066897,2013301.925804121
2025-08-19,2,P,7.599999904632568,759.9999904632568,6,2013301.925804121,-180.55997514724734,-1083.3598508834841,2012218.5659532375
2025-08-20,2,C,9.899999618530273,989.9999618530273,5,2012218.5659532375,-95.93996162414552,-479.69980812072765,2011738.8661451167
2025-08-21,2,C,10.600000381469727,1060.0000381469727,4,2011738.8661451167,713.6398853302002,2854.5595413208007,2014593.4256864376
2025-08-22,2,C,12.399999618530273,1239.9999618530273,4,2014593.4256864376,-17.43994255065918,-69.75977020263672,2014523.665916235
2025-09-02,2,P,14.199999809265137,1419.9999809265137,3,2014523.665916235,-238.52001895904542,-715.5600568771363,2013808.1058593579
2025-09-10,2,C,8.800000190734863,880.0000190734863,5,2013808.1058593579,2.9599426269531244,14.799713134765621,2013822.9055724926
2025-09-18,3,C,7.949999809265137,794.9999809265137,6,2013822.9055724926,-89.76999034881592,-538.6199420928956,2013284.2856303998
2025-09-19,3,P,9.600000381469727,960.0000381469727,5,2013284.2856303998,94.23999977111816,471.1999988555908,2013755.4856292554
2025-09-25,3,C,12.600000381469727,1260.0000381469727,3,2013755.4856292554,99.91994247436521,299.75982742309566,2014055.2454566786
2025-09-26,3,P,14.899999618530273,1489.9999618530273,3,2014055.2454566786,208.0800765991211,624.2402297973633,2014679.4856864759
2025-10-01,3,C,11.399999618530273,1139.9999618530273,4,2014679.4856864759,470.8801147460937,1883.5204589843747,2016563.0061454603
2025-10-02,3,P,10.850000381469727,1085.0000381469727,4,2016563.0061454603,246.31992340087888,985.2796936035155,2017548.2858390638
2025-10-03,3,P,10.399999618530273,1039.9999618530273,4,2017548.2858390638,-158.31999969482422,-633.2799987792969,2016915.0058402845
2025-10-06,3,C,9.100000381469727,910.0000381469727,5,2016915.0058402845,76.71991958618165,383.5995979309082,2017298.6054382154
2025-10-09,3,C,8.899999618530273,889.9999618530273,5,2017298.6054382154,-67.11994247436523,-335.5997123718262,2016963.0057258436
2025-10-10,3,C,7.170000076293945,717.0000076293945,7,2016963.0057258436,-132.73599815368652,-929.1519870758057,2016033.8537387678
2025-10-13,3,P,15.399999618530273,1539.9999618530273,3,2016033.8537387678,-366.7943694821358,-1100.3831084464073,2014933.4706303214
2025-10-14,3,C,20.700000762939453,2070.0000762939453,2,2014933.4706303214,95.44631499538418,190.89262999076837,2015124.3632603122
2025-10-17,3,C,28.700000762939453,2870.0000762939453,1,2015124.3632603122,865.6621698690415,865.6621698690415,2015990.0254301813
2025-10-20,3,C,11.100000381469727,1110.0000381469727,4,2015990.0254301813,-18.880038452148437,-75.52015380859375,2015914.5052763727
2025-10-22,3,C,12.8100004196167,1281.00004196167,3,2015914.5052763727,-118.24808807373049,-354.74426422119143,2015559.7610121514
2025-10-23,3,P,13.430000305175781,1343.0000305175781,3,2015559.7610121514,-73.74401168823242,-221.23203506469724,2015338.5289770868
2025-10-24,3,P,13.760000228881836,1376.0000228881836,3,2015338.5289770868,-394.2560611724853,-1182.768183517456,2014155.7607935693
2025-10-28,3,C,9.520000457763672,952.0000457763672,5,2014155.7607935693,-49.616007995605464,-248.08003997802732,2013907.6807535912
2025-10-30,3,P,16.600000381469727,1660.0000381469727,3,2013907.6807535912,-319.96003837585454,-959.8801151275636,2012947.8006384636
2025-10-31,3,C,14.5,1450.0,3,2012947.8006384636,-198.69996185302733,-596.0998855590819,2012351.7007529044
2025-11-03,3,C,13.0,1300.0,3,2012351.7007529044,29.59996185302734,88.79988555908203,2012440.5006384635
2025-11-04,3,C,12.199999809265137,1219.9999809265137,4,2012440.5006384635,151.68001537322996,606.7200614929199,2013047.2206999564
2025-11-06,3,C,15.300000190734863,1530.0000190734863,3,2013047.2206999564,-102.2400573730469,-306.72017211914067,2012740.5005278373
2025-11-07,3,C,20.299999237060547,2029.9999237060547,2,2012740.5005278373,-157.21436163196563,-314.42872326393126,2012426.0718045733
2025-11-10,3,P,12.0,1200.0,4,2012426.0718045733,102.80003814697265,411.2001525878906,2012837.2719571611
2025-11-13,3,C,15.739999771118164,1573.9999771118164,3,2012837.2719571611,-476.5919387817383,-1429.775816345215,2011407.496140816
2025-11-14,3,C,21.5,2150.0,2,2011407.496140816,281.76799954891203,563.5359990978241,2011971.0321399139
2025-11-17,3,P,20.5,2050.0,2,2011971.0321399139,-495.0379698050022,-990.0759396100044,2010980.956200304
2025-11-18,3,P,28.100000381469727,2810.0000381469727,1,2010980.956200304,266.17116093997953,266.17116093997953,2011247.127361244
2025-11-19,3,P,19.299999237060547,1929.9999237060547,2,2011247.127361244,432.7252764754772,865.4505529509544,2012112.577914195
2025-11-20,3,C,16.899999618530273,1689.9999618530273,2,2012112.577914195,-200.74836187634463,-401.49672375268926,2011711.0811904422
2025-11-24,3,C,19.309999465942383,1930.9999465942383,2,2011711.0811904422,542.6251353065301,1085.2502706130601,2012796.3314610552
2025-11-25,3,C,14.199999809265137,1419.9999809265137,3,2012796.3314610552,400.96874267740253,1202.9062280322075,2013999.2376890874
2025-12-01,3,P,16.020000457763672,1602.0000457763672,3,2013999.2376890874,-301.61200790405275,-904.8360237121583,2013094.4016653753
2025-12-03,3,C,11.899999618530273,1189.9999618530273,4,2013094.4016653753,52.8600383758545,211.440153503418,2013305.8418188787
2025-12-04,3,C,10.289999961853027,1028.9999961853027,4,2013305.8418188787,-385.1739961624146,-1540.6959846496584,2011765.145834229
2025-12-08,4,C,8.699999809265137,869.9999809265137,5,2011765.145834229,34.78005733489991,173.90028667449954,2011939.0461209035
2025-12-10,4,C,19.600000381469727,1960.0000381469727,2,2011939.0461209035,178.2399616241455,356.479923248291,2012295.5260441517
2025-12-11,4,C,12.300000190734863,1230.0000190734863,4,2012295.5260441517,400.15994262695307,1600.6397705078123,2013896.1658146596
2025-12-15,4,P,12.300000190734863,1230.0000190734863,4,2013896.1658146596,212.61998081207275,850.479923248291,2014746.6457379078
2025-12-16,4,P,17.81999969482422,1781.9999694824219,2,2014746.6457379078,853.7440307617187,1707.4880615234374,2016454.1337994314
2025-12-17,4,C,14.800000190734863,1480.0000190734863,3,2016454.1337994314,-141.84001922607422,-425.52005767822266,2016028.6137417532
2025-12-18,4,C,16.5,1650.0,3,2016028.6137417532,-346.19999237060546,-1038.5999771118163,2014990.0137646412
2025-12-19,4,C,11.699999809265137,1169.9999809265137,4,2014990.0137646412,-7.019999885559082,-28.07999954223633,2014961.933765099
2025-12-22,4,P,9.5,950.0,5,2014961.933765099,14.299980926513673,71.49990463256836,2015033.4336697315
2025-12-23,4,C,7.300000190734863,730.0000190734863,6,2015033.4336697315,-85.84001922607422,-515.0401153564453,2014518.393554375
2025-12-29,4,C,5.900000095367432,590.0000095367432,8,2014518.393554375,-253.54000005722045,-2028.3200004577636,2012490.0735539172
2025-12-31,4,P,12.5,1250.0,4,2012490.0735539172,-99.99996185302736,-399.99984741210943,2012090.0737065051
2026-01-02,4,C,12.399999618530273,1239.9999618530273,4,2012090.0737065051,152.5600383758545,610.240153503418,2012700.3138600085
