date,bar_of_day,global_bar,target_delta,horizon,spot_mfe,spot_mae,spot_end_ret,opt_mfe,opt_mae,opt_end_ret,n_valid_spot_bars,n_valid_opt_bars
2022-09-08,79,35959,0.5,10,0.0015244695234127535,-0.0008310177021193274,0.0015244695234127535,0.19230769230769232,-0.13846155313345102,0.19230769230769232,10,10
2022-09-08,79,35959,0.5,20,0.003394351023026304,-0.0008310177021193274,0.0030764400003446784,0.5615384028508112,-0.13846155313345102,0.4923076629638672,20,20
2022-09-08,79,35959,0.5,30,0.003439391473567703,-0.0008310177021193274,0.003439391473567703,0.5692307398869441,-0.13846155313345102,0.5538462125338041,30,30
2022-09-12,48,36708,0.4,5,0.0001870568519980566,-8.741972094011903e-05,-8.741972094011903e-05,0.06852499141859227,-0.024390249305540096,0.010452979811456032,5,5
2022-09-12,48,36708,0.4,10,0.0006073120369245718,-9.477389013725252e-05,9.228296186080408e-05,0.10685251021821641,-0.045296098164880214,-0.012775802678684072,10,10
2022-09-12,48,36708,0.4,20,0.0006073120369245718,-0.0012559023138588607,-0.0012559023138588607,0.10685251021821641,-0.256678240352299,-0.256678240352299,20,20
2022-09-12,48,36708,0.4,30,0.0006073120369245718,-0.0016421148123405805,-0.0007967412015668651,0.10685251021821641,-0.2682926315973691,-0.17537744625502272,30,30
2022-09-12,48,36708,0.5,5,0.0001870568519980566,-8.741972094011903e-05,-8.741972094011903e-05,0.05882347166332156,-0.014705938038939924,0.01470586791583039,5,5
2022-09-12,48,36708,0.5,10,0.0006073120369245718,-9.477389013725252e-05,9.228296186080408e-05,0.11029411455339222,-0.029411805954770314,-0.022058836935300353,10,10
2022-09-12,48,36708,0.5,20,0.0006073120369245718,-0.0012559023138588607,-0.0012559023138588607,0.11029411455339222,-0.20367649853435688,-0.20367649853435688,20,20
2022-09-12,48,36708,0.5,30,0.0006073120369245718,-0.0016421148123405805,-0.0007967412015668651,0.11029411455339222,-0.22058822910678444,-0.1691176563398233,30,30
2022-09-13,88,37138,0.4,5,0.0006472184702236939,-0.00033359188184220863,-0.0002558742211009267,0.0686274335641942,-0.08823525836860915,-0.08823525836860915,5,5
2022-09-13,88,37138,0.4,10,0.0006472184702236939,-0.0007073593235317624,-0.0007073593235317624,0.0686274335641942,-0.13235288755291374,-0.13235288755291374,10,10
2022-09-13,88,37138,0.4,20,0.0006472184702236939,-0.0012918647247254543,-0.00012040419307908615,0.0686274335641942,-0.25490195620110373,-0.1343137167820971,20,18
2022-09-13,88,37138,0.4,30,0.0006472184702236939,-0.0015828313174613333,-0.0013721546011886698,0.0686274335641942,-0.31568625984353194,-0.3137254773630905,30,28
2022-09-13,88,37138,0.5,5,0.0006472184702236939,-0.00033359188184220863,-0.0002558742211009267,0.09459463203797944,-0.07432434914145149,-0.07432434914145149,5,5
2022-09-13,88,37138,0.5,10,0.0006472184702236939,-0.0007073593235317624,-0.0007073593235317624,0.09459463203797944,-0.11554054162901103,-0.11554054162901103,10,10
2022-09-13,88,37138,0.5,20,0.0006472184702236939,-0.0012918647247254543,-0.00012040419307908615,0.09459463203797944,-0.21621620054224117,-0.06081084868958385,20,20
2022-09-13,88,37138,0.5,30,0.0006472184702236939,-0.0015828313174613333,-0.0013721546011886698,0.09459463203797944,-0.27364865800949484,-0.25675676633529704,30,30
2022-09-14,113,37553,0.4,5,-0.0003163523779936388,-0.0010325939337948618,-0.00035688502642407385,-0.04672897279559292,-0.13084108817628323,-0.06542054408814162,5,5
2022-09-14,113,37553,0.4,10,-0.0003163523779936388,-0.0015159581238425642,-0.0008680536246938735,-0.04672897279559292,-0.24299060506001777,-0.18691589118237167,10,10
2022-09-14,113,37553,0.4,20,0.0,-0.001526091285950173,-7.59369282332387e-05,-0.04672897279559292,-0.286915864443839,-0.07663548686367083,20,20
2022-09-14,113,37553,0.4,30,0.0008680536246938735,-0.001526091285950173,-0.00018221155521547675,0.033644917455030024,-0.286915864443839,-0.13084108817628323,30,30
2022-09-14,113,37553,0.5,5,-0.0003163523779936388,-0.0010325939337948618,-0.00035688502642407385,-0.04430378486170002,-0.15189876855899995,-0.05886077809803663,5,5
2022-09-14,113,37553,0.5,10,-0.0003163523779936388,-0.0015159581238425642,-0.0008680536246938735,-0.04430378486170002,-0.20886076904416664,-0.1772151998059333,10,10
2022-09-14,113,37553,0.5,20,0.0,-0.001526091285950173,-7.59369282332387e-05,-0.04430378486170002,-0.25949369189716665,-0.06329113847646667,20,20
2022-09-14,113,37553,0.5,30,0.0008680536246938735,-0.001526091285950173,-0.00018221155521547675,0.038607572741356705,-0.25949369189716665,-0.1202531993207666,30,30
2022-09-15,84,37914,0.4,5,-0.00011742984221393399,-0.0010594864426499203,-0.0007633563044554403,-0.004608312348104298,-0.13179725851604765,-0.13179725851604765,5,5
2022-09-15,84,37914,0.4,10,0.00020425562257699663,-0.0010594864426499203,0.00020425562257699663,0.013824849148065624,-0.13179725851604765,0.013824849148065624,10,10
2022-09-15,84,37914,0.4,20,0.00020425562257699663,-0.0023844989616434494,-0.0021445282118962915,0.013824849148065624,-0.2995392039236885,-0.262672836983225,20,20
2022-09-15,84,37914,0.4,30,0.0015573790008266213,-0.0023844989616434494,0.0015573790008266213,0.18894001520605078,-0.2995392039236885,0.18894001520605078,30,30
2022-09-15,84,37914,0.5,5,-0.00011742984221393399,-0.0010594864426499203,-0.0007633563044554403,-0.015151500920837589,-0.0681817902677968,-0.037878788426121635,5,5
2022-09-15,84,37914,0.5,10,0.00020425562257699663,-0.0010594864426499203,0.00020425562257699663,0.007575786584446453,-0.10606057869391844,0.007575786584446453,10,10
2022-09-15,84,37914,0.5,20,0.00020425562257699663,-0.0023844989616434494,-0.0021445282118962915,0.007575786584446453,-0.3030303074089731,-0.26515151898285144,20,20
2022-09-15,84,37914,0.5,30,0.0015573790008266213,-0.0023844989616434494,0.0015573790008266213,0.17424244120977056,-0.3030303074089731,0.17424244120977056,30,30
2022-09-16,98,38318,0.4,5,-0.00025936569131404817,-0.0012605451213351458,-0.0006536066078475599,-0.015999984741210938,-0.14720001220703124,-0.06400001525878907,5,5
2022-09-16,98,38318,0.4,10,0.0011697418006944365,-0.0012605451213351458,0.0006224523304729232,0.2,-0.14720001220703124,0.10400001525878906,10,10
2022-09-16,98,38318,0.4,20,0.0012138137052731908,-0.0013124055952575592,-0.0012994246463514606,0.2,-0.21599998474121093,-0.21599998474121093,20,20
2022-09-16,98,38318,0.4,30,0.0012138137052731908,-0.0024302869220295823,-0.0024302869220295823,0.2,-0.33599998474121096,-0.33599998474121096,30,30
2022-09-16,98,38318,0.5,5,-0.00025936569131404817,-0.0012605451213351458,-0.0006536066078475599,0.011904807858458375,-0.1071428165954779,-0.037499951748618705,5,5
2022-09-16,98,38318,0.5,10,0.0011697418006944365,-0.0012605451213351458,0.0006224523304729232,0.14880953056742036,-0.1071428165954779,0.09940477096034327,10,10
2022-09-16,98,38318,0.5,20,0.0012138137052731908,-0.0013124055952575592,-0.0012994246463514606,0.19642864846859198,-0.17857137991457347,-0.17857137991457347,20,20
2022-09-16,98,38318,0.5,30,0.0012138137052731908,-0.0024302869220295823,-0.0024302869220295823,0.19642864846859198,-0.2916666572056115,-0.2916666572056115,30,30
2022-09-19,133,38743,0.4,5,0.0009630942193993989,-0.00012685765559720374,0.0007352940246947041,0.11714281354631696,-0.05714289347330729,0.009523845854259673,5,5
2022-09-19,133,38743,0.4,10,0.0012245840655407201,-0.00012685765559720374,0.0004970645757929299,0.12380954197474889,-0.05714289347330729,0.009523845854259673,10,10
2022-09-19,133,38743,0.4,20,0.0012245840655407201,-0.0005463032971233841,-0.00014758974878897397,0.12380954197474889,-0.14285714285714285,-0.07619049435570127,20,20
2022-09-19,133,38743,0.4,30,0.0012245840655407201,-0.001975427160129252,0.0006058448574485291,0.12380954197474889,-0.3333333333333333,0.028571446736653645,30,30
2022-09-19,133,38743,0.5,5,0.0009630942193993989,-0.00012685765559720374,0.0007352940246947041,0.16260162349481314,-0.008130112188539084,0.10569107077852775,5,5
