date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry,predicted_net_pct,score_rank_in_day,n_candidates_in_day,opening_gap_pct,first15_close_position,first15_range_pct,pop_ctrl_a_mean_net_pct,pop_ctrl_a_n_bars,delta_net_pct
2025-03-03,0,strategy,-1,73,C,5960.0,178,0.4976322650909424,0.04883721098303795,0.14906832575798035,17.200000762939453,0.0,0.0010124907130375504,-0.9551601409912109,0.8655097484588623,76,12.850000381469727,3,stop_vwap,-0.25290698770447717,0.006,-0.2589069877044772,-445.3200386047363,-0.33000001311302185,0.0031264396732198687,1,156,0.002570119686424732,0.0921708196401596,0.004715857096016407,-0.03096550446772338,77,-0.22794148323675378
2025-03-04,0,strategy,-1,80,C,5755.0,135,0.5095359683036804,0.05480851233005524,0.14684756100177765,23.5,0.0,-0.003773563541471958,-1.0,-0.7459016442298889,81,21.700000762939453,1,stop_vwap,-0.07659571221534242,0.006360000157356262,-0.08295571237269868,-194.9459240758419,0.33000001311302185,-0.007920623508556109,1,94,-0.006724966689944267,0.3265765905380249,0.0046288734301924706,-0.02073256987934968,47,-0.062223142493348996
2025-03-13,0,strategy,-1,59,C,5580.0,149,0.5031514167785645,0.033149778842926025,0.09178228676319122,22.700000762939453,0.0,0.00016859998868312687,-1.0,-0.7308642268180847,66,19.100000381469727,7,stop_vwap,-0.1585903198447099,0.00848000020980835,-0.16707032005451825,-379.24963927021025,0.33000001311302185,0.006169882332629967,1,148,-0.0006841386784799397,0.020345252007246017,0.002907216316089034,-0.029023912316814737,73,-0.13804640773770352
2025-03-14,0,strategy,-1,34,C,5585.0,184,0.5093755722045898,0.03063424862921238,0.08461067080497742,23.649999618530273,0.0,0.0007938530761748552,0.6383307576179504,0.6034482717514038,36,27.200000762939453,2,target_first15,0.15010575905581322,0.00848000020980835,0.14162575884600487,334.9449142682076,0.33000001311302185,-0.0035202713980116984,1,166,0.007659067399799824,0.9980680346488953,0.004633799195289612,-0.0016602750947466932,82,0.14328603394075157
2025-03-17,0,strategy,-1,119,P,5650.0,167,-0.5055408477783203,0.062468353658914566,0.1733333319425583,15.800000190734863,0.0,-0.0009014041861519217,-0.040462426841259,-0.8522727489471436,120,14.0,1,time_stop,-0.11392406132946664,0.006360000157356262,-0.1202840614868229,-190.0488194434166,0.33000001311302185,0.011455742183028562,1,174,-0.00022352869564201683,0.9584365487098694,0.0064317393116652966,-0.07955339358657743,86,-0.040730667900245474
2025-03-18,0,strategy,-1,71,P,5625.0,139,-0.48136773705482483,0.03597765415906906,0.11506849527359009,17.899999618530273,0.0,-2.9323840863071382e-05,-0.7953899502754211,0.5085324048995972,73,19.700000762939453,2,target_first15,0.1005587252943737,0.006360000157356262,0.09419872513701744,168.61571440186503,0.33000001311302185,-0.015095645189820492,1,172,-0.0038106748834252357,0.009156931191682816,0.005629121325910091,-0.006274851093227114,85,0.10047357623024455
2025-03-19,0,strategy,-1,41,C,5660.0,150,0.49419885873794556,0.026096491143107414,0.07538802921772003,22.799999237060547,0.0,0.003052065148949623,1.0,-0.29738563299179077,42,21.5,1,target_first15,-0.05701751230532704,0.00848000020980835,-0.06549751251513539,-149.33432353744504,0.33000001311302185,-0.004417690621802489,1,150,0.003027405124157667,0.184523805975914,0.002969331108033657,-0.008246938123792874,75,-0.05725057439134251
2025-03-20,1,strategy,-1,118,C,5695.0,181,0.5098991990089417,0.047068964689970016,0.12682926654815674,14.5,0.0,0.002848970238119364,1.0,-0.9288135766983032,119,14.5,1,target_first15,0.0,0.006,-0.006,-8.700000000000001,-0.33000001311302185,-0.0025492553749973546,1,178,-0.0049971104599535465,0.9006432890892029,0.004913099110126495,-0.004275083581746453,88,-0.0017249164182535472
2025-03-21,1,strategy,-1,66,C,5620.0,202,0.5152488946914673,0.050193049013614655,0.1347150206565857,18.1299991607666,0.0,0.0003769451577682048,0.194609597325325,-0.39329269528388977,69,16.170000076293945,3,stop_vwap,-0.10810806261448169,0.006360000157356262,-0.11446806277183795,-207.53058819880005,0.33000001311302185,-0.005018589822503231,1,180,-0.00553507823497057,0.5156559944152832,0.0044888686388731,-0.029669500180580326,89,-0.08479856259125762
2025-03-25,1,strategy,-1,44,C,5775.0,136,0.4933881163597107,0.06862745434045792,0.1818181872367859,10.199999809265137,0.0,0.00018154049757868052,0.036866359412670135,-0.42716050148010254,59,13.800000190734863,15,target_first15,0.3529412204694041,0.008,0.3449412204694041,351.84003829956055,-0.33000001311302185,-0.004589745621980414,1,180,0.0018750596791505814,0.32181259989738464,0.002255135215818882,0.03926274727702943,89,0.3056784731923747
