Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 149,833
Architecture: v4 momentum-aware two-head (gate+dir) with trend-following loss
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Momentum loss weight: 1.5x
Label smoothing: gate=0.05 dir=0.05

step 03000 ( 34.7%) | loss: 0.924823 | trade:0.52 call:0.72 put:0.28 | ATM:0.57 OTM:0.43 mom:0.78 | lr: 1.50e-04 | left: 157s
step 03050 ( 35.3%) | loss: 0.907971 | trade:0.53 call:0.74 put:0.26 | ATM:0.62 OTM:0.38 mom:0.65 | lr: 1.50e-04 | left: 155s
step 03100 ( 35.9%) | loss: 0.907025 | trade:0.54 call:0.74 put:0.26 | ATM:0.66 OTM:0.34 mom:0.74 | lr: 1.50e-04 | left: 154s
step 03150 ( 36.4%) | loss: 0.909874 | trade:0.50 call:0.72 put:0.28 | ATM:0.60 OTM:0.40 mom:0.76 | lr: 1.50e-04 | left: 153s
step 03200 ( 37.0%) | loss: 0.908825 | trade:0.51 call:0.71 put:0.29 | ATM:0.54 OTM:0.46 mom:0.63 | lr: 1.50e-04 | left: 151s
step 03250 ( 37.6%) | loss: 0.929082 | trade:0.48 call:0.78 put:0.22 | ATM:0.63 OTM:0.37 mom:0.76 | lr: 1.50e-04 | left: 150s
step 03300 ( 38.1%) | loss: 0.898112 | trade:0.51 call:0.74 put:0.26 | ATM:0.63 OTM:0.37 mom:0.70 | lr: 1.50e-04 | left: 148s
step 03350 ( 38.7%) | loss: 0.907660 | trade:0.49 call:0.74 put:0.26 | ATM:0.65 OTM:0.35 mom:0.71 | lr: 1.50e-04 | left: 147s
step 03400 ( 39.3%) | loss: 0.882703 | trade:0.51 call:0.73 put:0.27 | ATM:0.63 OTM:0.37 mom:0.67 | lr: 1.50e-04 | left: 146s
step 03450 ( 39.9%) | loss: 0.894253 | trade:0.52 call:0.79 put:0.21 | ATM:0.55 OTM:0.45 mom:0.74 | lr: 1.50e-04 | left: 144s
step 03500 ( 40.4%) | loss: 0.899246 | trade:0.49 call:0.79 put:0.21 | ATM:0.57 OTM:0.43 mom:0.85 | lr: 1.50e-04 | left: 143s
step 03550 ( 41.0%) | loss: 0.895326 | trade:0.51 call:0.77 put:0.23 | ATM:0.59 OTM:0.41 mom:0.64 | lr: 1.50e-04 | left: 142s
step 03600 ( 41.6%) | loss: 0.875562 | trade:0.50 call:0.74 put:0.26 | ATM:0.60 OTM:0.40 mom:0.79 | lr: 1.50e-04 | left: 140s
step 03650 ( 42.2%) | loss: 0.882120 | trade:0.52 call:0.80 put:0.20 | ATM:0.58 OTM:0.42 mom:0.76 | lr: 1.50e-04 | left: 139s
step 03700 ( 42.8%) | loss: 0.889792 | trade:0.52 call:0.75 put:0.25 | ATM:0.61 OTM:0.39 mom:0.76 | lr: 1.50e-04 | left: 137s
step 03750 ( 43.3%) | loss: 0.885079 | trade:0.46 call:0.83 put:0.17 | ATM:0.68 OTM:0.32 mom:0.80 | lr: 1.50e-04 | left: 136s
step 03800 ( 43.9%) | loss: 0.890203 | trade:0.53 call:0.71 put:0.29 | ATM:0.61 OTM:0.39 mom:0.70 | lr: 1.50e-04 | left: 135s
step 03850 ( 44.5%) | loss: 0.885624 | trade:0.51 call:0.74 put:0.26 | ATM:0.60 OTM:0.40 mom:0.69 | lr: 1.50e-04 | left: 133s
step 03900 ( 45.1%) | loss: 0.862214 | trade:0.56 call:0.70 put:0.30 | ATM:0.61 OTM:0.39 mom:0.63 | lr: 1.50e-04 | left: 132s
step 03950 ( 45.7%) | loss: 0.852614 | trade:0.44 call:0.76 put:0.24 | ATM:0.64 OTM:0.36 mom:0.70 | lr: 1.50e-04 | left: 130s
step 04000 ( 46.2%) | loss: 0.865429 | trade:0.53 call:0.77 put:0.23 | ATM:0.60 OTM:0.40 mom:0.72 | lr: 1.50e-04 | left: 129s
step 04050 ( 46.8%) | loss: 0.860091 | trade:0.51 call:0.75 put:0.25 | ATM:0.58 OTM:0.42 mom:0.65 | lr: 1.50e-04 | left: 128s
step 04100 ( 47.4%) | loss: 0.850697 | trade:0.48 call:0.79 put:0.21 | ATM:0.61 OTM:0.39 mom:0.75 | lr: 1.50e-04 | left: 126s
step 04150 ( 48.0%) | loss: 0.842271 | trade:0.51 call:0.71 put:0.29 | ATM:0.67 OTM:0.33 mom:0.62 | lr: 1.50e-04 | left: 125s
step 04200 ( 48.6%) | loss: 0.844080 | trade:0.48 call:0.79 put:0.21 | ATM:0.64 OTM:0.36 mom:0.75 | lr: 1.50e-04 | left: 123s
step 04250 ( 49.1%) | loss: 0.850515 | trade:0.50 call:0.73 put:0.27 | ATM:0.67 OTM:0.33 mom:0.72 | lr: 1.50e-04 | left: 122s
