Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Curriculum: 4 stages with 2.0x conservative boost
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 03300 ( 21.8%) | loss: 1.208954 | trade:0.37 call:0.71 put:0.29 | ATM:0.59 OTM:0.41 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 188s
step 03350 ( 22.1%) | loss: 1.209162 | trade:0.31 call:0.65 put:0.35 | ATM:0.61 OTM:0.39 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 187s
step 03400 ( 22.4%) | loss: 1.189216 | trade:0.32 call:0.65 put:0.35 | ATM:0.58 OTM:0.42 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 186s
step 03450 ( 22.6%) | loss: 1.177752 | trade:0.31 call:0.67 put:0.33 | ATM:0.52 OTM:0.48 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 186s
step 03500 ( 22.9%) | loss: 1.190687 | trade:0.32 call:0.67 put:0.33 | ATM:0.52 OTM:0.48 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 185s
step 03550 ( 23.3%) | loss: 1.204703 | trade:0.34 call:0.67 put:0.33 | ATM:0.54 OTM:0.46 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 184s
step 03600 ( 23.8%) | loss: 1.206552 | trade:0.31 call:0.65 put:0.35 | ATM:0.58 OTM:0.42 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 183s
step 03650 ( 24.3%) | loss: 1.187641 | trade:0.31 call:0.68 put:0.32 | ATM:0.56 OTM:0.44 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 182s
step 03700 ( 24.8%) | loss: 1.193825 | trade:0.35 call:0.65 put:0.35 | ATM:0.55 OTM:0.45 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 181s
step 03750 ( 25.3%) | loss: 1.231550 | trade:0.28 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 179s
step 03800 ( 25.8%) | loss: 1.179984 | trade:0.34 call:0.59 put:0.41 | ATM:0.58 OTM:0.42 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 178s
step 03850 ( 26.3%) | loss: 1.165258 | trade:0.35 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 177s
step 03900 ( 26.8%) | loss: 1.162170 | trade:0.39 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 176s
step 03950 ( 27.3%) | loss: 1.140213 | trade:0.26 call:0.68 put:0.32 | ATM:0.60 OTM:0.40 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 174s
step 04000 ( 27.9%) | loss: 1.152016 | trade:0.34 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 173s
step 04050 ( 28.4%) | loss: 1.158721 | trade:0.35 call:0.64 put:0.36 | ATM:0.57 OTM:0.43 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 172s
step 04100 ( 28.8%) | loss: 1.149547 | trade:0.29 call:0.67 put:0.33 | ATM:0.59 OTM:0.41 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 171s
step 04150 ( 29.2%) | loss: 1.123069 | trade:0.32 call:0.58 put:0.42 | ATM:0.65 OTM:0.35 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 170s
step 04200 ( 29.6%) | loss: 1.130691 | trade:0.30 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 169s
step 04250 ( 29.8%) | loss: 1.132707 | trade:0.31 call:0.62 put:0.38 | ATM:0.61 OTM:0.39 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 168s
step 04300 ( 30.1%) | loss: 1.150962 | trade:0.38 call:0.63 put:0.37 | ATM:0.56 OTM:0.44 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 168s
