Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 152,489
Architecture: v5 three-head (gate+dir+size) + position state
Training from scratch (v5: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.0003 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Size loss weight: 0.3

step 05250 ( 51.8%) | loss: 1.057940 | trade:0.33 call:0.58 put:0.42 | ATM:0.57 OTM:0.43 | size:0.52 | lr: 3.00e-04 | left: 116s
step 05300 ( 52.3%) | loss: 1.038755 | trade:0.33 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | size:0.52 | lr: 3.00e-04 | left: 114s
step 05350 ( 52.9%) | loss: 1.028677 | trade:0.30 call:0.61 put:0.39 | ATM:0.66 OTM:0.34 | size:0.52 | lr: 3.00e-04 | left: 113s
step 05400 ( 53.5%) | loss: 1.024898 | trade:0.32 call:0.59 put:0.41 | ATM:0.58 OTM:0.42 | size:0.51 | lr: 3.00e-04 | left: 112s
step 05450 ( 54.0%) | loss: 1.055379 | trade:0.32 call:0.60 put:0.40 | ATM:0.57 OTM:0.43 | size:0.52 | lr: 3.00e-04 | left: 110s
step 05500 ( 54.6%) | loss: 1.032031 | trade:0.31 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | size:0.52 | lr: 3.00e-04 | left: 109s
step 05550 ( 55.2%) | loss: 1.039375 | trade:0.37 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | size:0.52 | lr: 3.00e-04 | left: 108s
step 05600 ( 55.7%) | loss: 1.034301 | trade:0.45 call:0.62 put:0.38 | ATM:0.52 OTM:0.48 | size:0.52 | lr: 3.00e-04 | left: 106s
step 05650 ( 56.3%) | loss: 1.026848 | trade:0.36 call:0.65 put:0.35 | ATM:0.62 OTM:0.38 | size:0.51 | lr: 3.00e-04 | left: 105s
step 05700 ( 56.8%) | loss: 1.029132 | trade:0.31 call:0.60 put:0.40 | ATM:0.62 OTM:0.38 | size:0.52 | lr: 3.00e-04 | left: 104s
step 05750 ( 57.4%) | loss: 1.037638 | trade:0.33 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | size:0.52 | lr: 3.00e-04 | left: 102s
step 05800 ( 57.9%) | loss: 1.024902 | trade:0.28 call:0.60 put:0.40 | ATM:0.64 OTM:0.36 | size:0.51 | lr: 3.00e-04 | left: 101s
step 05850 ( 58.2%) | loss: 1.013277 | trade:0.33 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | size:0.51 | lr: 3.00e-04 | left: 100s
step 05900 ( 58.7%) | loss: 1.009890 | trade:0.33 call:0.65 put:0.35 | ATM:0.62 OTM:0.38 | size:0.51 | lr: 3.00e-04 | left: 99s
step 05950 ( 59.3%) | loss: 1.032248 | trade:0.29 call:0.57 put:0.43 | ATM:0.64 OTM:0.36 | size:0.52 | lr: 3.00e-04 | left: 98s
step 06000 ( 59.8%) | loss: 1.027472 | trade:0.34 call:0.60 put:0.40 | ATM:0.67 OTM:0.33 | size:0.51 | lr: 3.00e-04 | left: 96s
step 06050 ( 60.4%) | loss: 1.028990 | trade:0.35 call:0.67 put:0.33 | ATM:0.56 OTM:0.44 | size:0.52 | lr: 3.00e-04 | left: 95s
step 06100 ( 61.0%) | loss: 1.019498 | trade:0.32 call:0.65 put:0.35 | ATM:0.64 OTM:0.36 | size:0.51 | lr: 3.00e-04 | left: 94s
step 06150 ( 61.5%) | loss: 1.024027 | trade:0.32 call:0.63 put:0.37 | ATM:0.65 OTM:0.35 | size:0.51 | lr: 3.00e-04 | left: 92s
step 06200 ( 62.1%) | loss: 1.007489 | trade:0.36 call:0.58 put:0.42 | ATM:0.63 OTM:0.37 | size:0.52 | lr: 3.00e-04 | left: 91s
step 06250 ( 62.6%) | loss: 1.034215 | trade:0.30 call:0.65 put:0.35 | ATM:0.63 OTM:0.37 | size:0.52 | lr: 3.00e-04 | left: 90s
step 06300 ( 63.2%) | loss: 0.999884 | trade:0.32 call:0.51 put:0.49 | ATM:0.62 OTM:0.38 | size:0.52 | lr: 3.00e-04 | left: 88s
step 06350 ( 63.7%) | loss: 1.000607 | trade:0.31 call:0.61 put:0.39 | ATM:0.59 OTM:0.41 | size:0.52 | lr: 3.00e-04 | left: 87s
